Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Car Electronics,200000285,12v~24v Waterproof IP68 Fire Truck Revers Camera,1005003449947820,https://ae01.alicdn.com/kf/H1a241245b60e471a92ce88576ac45c6dn/12v-24v-Waterproof-IP68-Fire-Truck-Revers-Camera.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1a241245b60e471a92ce88576ac45c6dn.jpg,https://ae04.alicdn.com/kf/H199b1132e8cb4f09a3f3e51331c0fc28j.jpg,https://ae04.alicdn.com/kf/Hcf9a0992157c4abfa2dbe67cabbd0c03N.jpg,https://ae04.alicdn.com/kf/Ha2477e26ccb84e5f914a7fd0ef440f7d0.jpg,https://ae04.alicdn.com/kf/H011f2526a2e24c71b8dc6a48f9a341e7H.jpg,",https://www.aliexpress.com/item/1005003449947820.html,132.00,72.60,8.00%,,45%,https://s.click.aliexpress.com/e/_ALhSox
Car Electronics,200000285,Hot sell products new trend in EU market universal dash camera,1005003456781445,https://ae01.alicdn.com/kf/H93f88a93f8ed4b21801382c5efa28d85W/Hot-sell-products-new-trend-in-EU-market-universal-dash-camera.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H93f88a93f8ed4b21801382c5efa28d85W.jpg,https://ae04.alicdn.com/kf/Hfb33363fa8244bd8996a72ce903d68c8W.jpg,https://ae04.alicdn.com/kf/H4b3852a42aef435da3f0f3577946b218r.jpg,https://ae04.alicdn.com/kf/Hf39d84b6eca040eea4a093f911b5a36bn.jpg,https://ae04.alicdn.com/kf/H1670b16a6984496c90a3851f561c7b58X.jpg,",https://www.aliexpress.com/item/1005003456781445.html,260.00,260.00,8.00%,,0%,https://s.click.aliexpress.com/e/_AZ49tt
Car Electronics,200000285,Shenzhen Safe 4.3'' rear view mirror parking sensor with backup  reverse camera,1005003445516126,https://ae01.alicdn.com/kf/H22a32a062c024dd9b25708693fbf8716L/Shenzhen-Safe-4-3-rear-view-mirror-parking-sensor-with-backup-reverse-camera.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H22a32a062c024dd9b25708693fbf8716L.jpg,https://ae04.alicdn.com/kf/H17ef40bc96f041939e3873c39ead92e9L.jpg,https://ae04.alicdn.com/kf/H41f4f23826eb4c6499741155940ed329X.jpg,https://ae04.alicdn.com/kf/Hfd748c0150434355846fb62162a7e2be7.jpg,https://ae04.alicdn.com/kf/H530ccf0ca6b343c7b3ed7579bf9f54f4Y.jpg,",https://www.aliexpress.com/item/1005003445516126.html,59.25,59.25,8.00%,,0%,https://s.click.aliexpress.com/e/_9RN5Vt
Car Electronics,200000285,Car Rearview Aids Original Specail Rear View Camera for BMW,1005003445926753,https://ae01.alicdn.com/kf/H4fd1ab72aa8d428a83f5bb3a2678e0a6p/Car-Rearview-Aids-Original-Specail-Rear-View-Camera-for-BMW.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4fd1ab72aa8d428a83f5bb3a2678e0a6p.jpg,https://ae04.alicdn.com/kf/H5de4071db0a34089b91dc9bfc9e40500U.jpg,",https://www.aliexpress.com/item/1005003445926753.html,22.00,22.00,8.00%,,0%,https://s.click.aliexpress.com/e/_AlUt6F
Car Electronics,200000285,Waterproof HD Car Front View Parking Camera For Toyota  Honda Volkswagen,1005003445714150,https://ae01.alicdn.com/kf/Hb49a42a38e1f4476b2abda5a33bd673dX/Waterproof-HD-Car-Front-View-Parking-Camera-For-Toyota-Honda-Volkswagen.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb49a42a38e1f4476b2abda5a33bd673dX.jpg,https://ae04.alicdn.com/kf/He732674ea7824d159643922580aa0495V.jpg,https://ae04.alicdn.com/kf/H10585f0753a242128e2925b3d7a531569.jpg,https://ae04.alicdn.com/kf/H7682f3233c494865a80962ad78cdd022H.jpg,https://ae04.alicdn.com/kf/H538b3d18efaa40ca849748f2e2c7dd13T.jpg,",https://www.aliexpress.com/item/1005003445714150.html,21.00,21.00,8.00%,,0%,https://s.click.aliexpress.com/e/_AfKq03
Car Electronics,200000285,4K dash cam single front recording 4K double recording 1080p car camera recorder Car DVR,1005003436295113,https://ae01.alicdn.com/kf/H3597fdcff764439799db3e1524991645V/4K-dash-cam-single-front-recording-4K-double-recording-1080p-car-camera-recorder-Car-DVR.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3597fdcff764439799db3e1524991645V.jpg,https://ae04.alicdn.com/kf/H4922487410964555b3dc825583b669b7E.jpg,https://ae04.alicdn.com/kf/Hf5d4be236fc34e788437510cf8c9eb9ak.jpg,https://ae04.alicdn.com/kf/H30ba5e25f4734f4a9167dc1e216aa8f5E.jpg,https://ae04.alicdn.com/kf/H4e5e6c18a6ee4adb90bfbf706c050ca3E.jpg,",https://www.aliexpress.com/item/1005003436295113.html,118.90,59.45,8.00%,,50%,https://s.click.aliexpress.com/e/_ABOgTp
Car Electronics,200000285,4G Center Console Navigation Tachograph Dual Lens HD Night Vision Reversing Image Huawei Hicar Multimedia,1005003452129495,https://ae01.alicdn.com/kf/H3b7a0cbd919a4fdeaec9842def655be2F/4G-Center-Console-Navigation-Tachograph-Dual-Lens-HD-Night-Vision-Reversing-Image-Huawei-Hicar-Multimedia.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3b7a0cbd919a4fdeaec9842def655be2F.jpg,https://ae04.alicdn.com/kf/H6750e800405147d5a3b7170c6a8233b0T.jpg,https://ae04.alicdn.com/kf/H0217d656d8d34fc6a3b7e6bbb4a2927b2.jpg,https://ae04.alicdn.com/kf/H32d7ed46b7ba468d84ecb262a6da439cM.jpg,https://ae04.alicdn.com/kf/Hea4dcde31af6421b87ada1cc69aeee4fx.jpg,",https://www.aliexpress.com/item/1005003452129495.html,206.90,144.83,8.00%,,30%,https://s.click.aliexpress.com/e/_AdMuk3
Car Electronics,200000285,FULL COLOR AHD WIFI TF CARD Original Car Shell for Dedicated Car Dashcam Car Black Box for BMW,1005003456032874,https://ae01.alicdn.com/kf/Hd34e6b015d6144fe9c518cb9d1468deeD/FULL-COLOR-AHD-WIFI-TF-CARD-Original-Car-Shell-for-Dedicated-Car-Dashcam-Car-Black-Box.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd34e6b015d6144fe9c518cb9d1468deeD.jpg,https://ae04.alicdn.com/kf/H0fa83bb083434708a81ac143575e1694S.jpg,https://ae04.alicdn.com/kf/Hf715233101b148dfaa8bd2fb9e2e3346S.jpg,https://ae04.alicdn.com/kf/H12c5512d51f641d7b773ba681f099e711.jpg,https://ae04.alicdn.com/kf/H621c016c43bf4cd1852e1e9663cfe8ceQ.jpg,",https://www.aliexpress.com/item/1005003456032874.html,185.00,185.00,8.00%,,0%,https://s.click.aliexpress.com/e/_AtfZJz
Car Electronics,200000285,7'' Lcd Monitor Wireless Truck Camera with Rearview System,1005003446597242,https://ae01.alicdn.com/kf/H3f7cbce0f94e41c686132f97b59ced7aS/7-Lcd-Monitor-Wireless-Truck-Camera-with-Rearview-System.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3f7cbce0f94e41c686132f97b59ced7aS.jpg,https://ae04.alicdn.com/kf/Haeb237de55564670a66dff20ec711c1b7.jpg,https://ae04.alicdn.com/kf/H46bf9ad429d14fc0b27213d668f76f31z.jpg,https://ae04.alicdn.com/kf/Hbfc624315b6441128cce9aab97e590e5g.jpg,https://ae04.alicdn.com/kf/Haa7fc7fbd0564073b83a62ba145f608fZ.jpg,",https://www.aliexpress.com/item/1005003446597242.html,88.99,88.99,8.00%,,0%,https://s.click.aliexpress.com/e/_AAcLVZ
Car Electronics,200000285,Mini Reverse Backup Waterproof HD Car Rear View Reversing Camera,1005003444728263,https://ae01.alicdn.com/kf/Hc5bdaa1e5dc549ae8fd7a40b0187fb19h/Mini-Reverse-Backup-Waterproof-HD-Car-Rear-View-Reversing-Camera.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc5bdaa1e5dc549ae8fd7a40b0187fb19h.jpg,https://ae04.alicdn.com/kf/He2d1821525924813aa4c27d2ec3e2830r.jpg,https://ae04.alicdn.com/kf/H52e214f9f84d4ed1932ed93fa4a3de424.jpg,https://ae04.alicdn.com/kf/H1c8ad0e3d07e428f9f5e1d63a7b962789.jpg,https://ae04.alicdn.com/kf/Hc8905cff233e4164b078302e3d4696fdL.jpg,",https://www.aliexpress.com/item/1005003444728263.html,14.80,14.80,8.00%,,0%,https://s.click.aliexpress.com/e/_9zrpdt
