Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Electronic Toys,200001388,Push Car Gentle Car Light Music Sound Bright Color Kids Push Going Car for Children,1005003364580609,https://ae01.alicdn.com/kf/Hd5e6f789ea604cbd995e0a09289a1365W/Push-Car-Gentle-Car-Light-Music-Sound-Bright-Color-Kids-Push-Going-Car-for-Children.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd5e6f789ea604cbd995e0a09289a1365W.jpg,https://ae04.alicdn.com/kf/H0ef23e611efd406ab7683d6dfb966eafq.jpg,https://ae04.alicdn.com/kf/Hb112b02649d04ccea46b0068be50cce3z.jpg,https://ae04.alicdn.com/kf/H6b1683e3699d4ece953054f745e0233dE.jpg,https://ae04.alicdn.com/kf/H32eaa3c73a6747bab6fa57ff629b2fa4x.jpg,",https://www.aliexpress.com/item/1005003364580609.html,2.80,1.68,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9RIUvd
Electronic Toys,200001388,T5EC Novelty Colorful Toy Camera Model Home Game Plastic Long Time to Use Sturdy Toys Interactive Toy Party Camera Model,1005003192513346,https://ae01.alicdn.com/kf/H3330979c20d54a6f91226a5969755edbb/T5EC-Novelty-Colorful-Toy-Camera-Model-Home-Game-Plastic-Long-Time-to-Use-Sturdy-Toys-Interactive.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3330979c20d54a6f91226a5969755edbb.jpg,https://ae04.alicdn.com/kf/H19e159ecbbde4ebcbb6e317bb78b974fh.jpg,https://ae04.alicdn.com/kf/Hf1f27726575f4974aac7d70c90ffea10c.jpg,https://ae04.alicdn.com/kf/Hfdeab96ab0fb40c5b443788829ac1dbag.jpg,https://ae04.alicdn.com/kf/H9343c0aa8a044ec38ac8c5f36d181d4c6.jpg,",https://www.aliexpress.com/item/1005003192513346.html,3.16,2.12,8.00%,2098-12-31,33%,https://s.click.aliexpress.com/e/_AMwxFz
Electronic Toys,200001388,Christmas Gift Dancing Electric Musical Toy Singing Dancing Santa Toy Playing Saxophone Santa Claus Doll Christmas Decoration,1005003400256999,https://ae01.alicdn.com/kf/Hf3ce0113b2c44f52a7e3fa271b76e93cM/Christmas-Gift-Dancing-Electric-Musical-Toy-Singing-Dancing-Santa-Toy-Playing-Saxophone-Santa-Claus-Doll-Christmas.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf3ce0113b2c44f52a7e3fa271b76e93cM.jpg,https://ae04.alicdn.com/kf/H4b10b4606936412594402995e73a0aefk.jpg,https://ae04.alicdn.com/kf/H8b2ffe8d99094b639292f91469c04163X.jpg,https://ae04.alicdn.com/kf/Hf7e6228a3fe54a7ab37ab415f8eedb67r.jpg,https://ae04.alicdn.com/kf/H277d14968cfb44ed8076abc3dd5b0be9Z.jpg,",https://www.aliexpress.com/item/1005003400256999.html,11.30,7.80,10.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_ASysDH
Electronic Toys,200001388,Baby Children Toys Electric Pet Toys Funny Chicken Toys Animal Hens Lay Eggs Singing Dancing Toy For Kids Birthday Gift,1005003146258634,https://ae01.alicdn.com/kf/H53c04e82e8e045a7b7e38fa685716f7dV/Baby-Children-Toys-Electric-Pet-Toys-Funny-Chicken-Toys-Animal-Hens-Lay-Eggs-Singing-Dancing-Toy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H53c04e82e8e045a7b7e38fa685716f7dV.jpg,https://ae04.alicdn.com/kf/H720e0a18e5944e39ab7579071ab67e6f6.jpg,https://ae04.alicdn.com/kf/Hd058bf5e6b6e48498eb54bdd01e09c47f.jpg,https://ae04.alicdn.com/kf/H63a7452c8dfe49d9b28469e6e68c6e46S.jpg,https://ae04.alicdn.com/kf/H98c550dd30a043728468e145d74bde8dL.jpg,",https://www.aliexpress.com/item/1005003146258634.html,116.97,81.88,30.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_97Tjlt
Electronic Toys,200001388,Pinyin spelling training learning enlightenment quiz game book 0-3-6 year old baby child point reading audio book audiobook book,1005003350574395,https://ae01.alicdn.com/kf/H07f75e7e2f9e4b40a5a62b3582d2ff6b4/Pinyin-spelling-training-learning-enlightenment-quiz-game-book-0-3-6-year-old-baby-child-point.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H07f75e7e2f9e4b40a5a62b3582d2ff6b4.jpg,https://ae04.alicdn.com/kf/H5a51e83dbfd0424aaaa3ecfba885a1f3K.jpg,https://ae04.alicdn.com/kf/H90004088f49242a4abc0ca3101d8e635z.jpg,https://ae04.alicdn.com/kf/Hb8a9bd8e8b7a4d6488137cab4c616f71f.jpg,https://ae04.alicdn.com/kf/H304ebdf7f65d4be6b8794c0a59c236d2D.jpg,",https://www.aliexpress.com/item/1005003350574395.html,92.00,46.00,8.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9RCL39
Electronic Toys,200001388,Electronic Pets Toys Tamagotchis Funny Kids Nostalgic Pet In One Virtual Cyber Pet Interactive Toy Digital HD Color Screen E-pet,1005003039440487,https://ae01.alicdn.com/kf/Hb4a6ce1b0bd048ae9e0d7514b9165955F/Electronic-Pets-Toys-Tamagotchis-Funny-Kids-Nostalgic-Pet-In-One-Virtual-Cyber-Pet-Interactive-Toy-Digital.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb4a6ce1b0bd048ae9e0d7514b9165955F.jpg,https://ae04.alicdn.com/kf/Ha6030d627f3844fbb78b83b7ed5ef8beO.jpg,https://ae04.alicdn.com/kf/H5f1b975915f04cccae1ce2dcc840ab75a.jpg,https://ae04.alicdn.com/kf/H8493257a987d46fc9963da2884c088873.jpg,https://ae04.alicdn.com/kf/Hc7c9d78cf4a44a13856e7654d982599cg.jpg,",https://www.aliexpress.com/item/1005003039440487.html,81.45,57.01,20.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AMkhUX
Electronic Toys,200001388,Talking Little Yellow Chicken Plush Electric Learn To Speak Can Sing Early Education Machine Toy Educational Toy Children's Gift,1005003404729967,https://ae01.alicdn.com/kf/H5edaadf4518040d0aa8797fcf2b30165N/Talking-Little-Yellow-Chicken-Plush-Electric-Learn-To-Speak-Can-Sing-Early-Education-Machine-Toy-Educational.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5edaadf4518040d0aa8797fcf2b30165N.jpg,https://ae04.alicdn.com/kf/Ha72d57e6d2504735aa7917591a419799q.jpg,https://ae04.alicdn.com/kf/Hec116234e5414ec3beb9273e82878678E.jpg,https://ae04.alicdn.com/kf/Hb867d5e8e7db411c80dd03f0d25a7a520.jpg,https://ae04.alicdn.com/kf/H9156ed3383d641f2865067e2f255e9e0l.jpg,",https://www.aliexpress.com/item/1005003404729967.html,12.33,8.75,8.00%,2098-12-31,29%,https://s.click.aliexpress.com/e/_AgPT23
Electronic Toys,200001388,1Pc New Electric Walking Snail Toy Toddler Animal Push Pull Toy with Pull String Music Snail Toys for Children Christmas Gifts,1005002857621712,https://ae01.alicdn.com/kf/H347bb9929fee4a98adc53aeba8e9e57fV/1Pc-New-Electric-Walking-Snail-Toy-Toddler-Animal-Push-Pull-Toy-with-Pull-String-Music-Snail.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H347bb9929fee4a98adc53aeba8e9e57fV.jpg,https://ae04.alicdn.com/kf/H75570b8113414d49b6658f85a28d76616.jpg,https://ae04.alicdn.com/kf/H19693fd5d04a44278b006d7f84eb04b7W.jpg,https://ae04.alicdn.com/kf/Hd3021063cd2246d98afda98654d325492.jpg,https://ae04.alicdn.com/kf/H9bc15cd0a78f4618b7e14f76b338dbc6D.jpg,",https://www.aliexpress.com/item/1005002857621712.html,7.34,5.50,8.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_ACYFO3
Electronic Toys,200001388,Hot Sell 10 Rolls 20 Rolls Thermal Printing Paper for Kid Camera Kid's Printing Camera Cash Register POS Receipt Printer Paper,1005003376928671,https://ae01.alicdn.com/kf/He023b8bca5f14d43832e0d2c69ddbf0aj/Hot-Sell-10-Rolls-20-Rolls-Thermal-Printing-Paper-for-Kid-Camera-Kid-s-Printing-Camera.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He023b8bca5f14d43832e0d2c69ddbf0aj.jpg,https://ae04.alicdn.com/kf/Hb5d90f4a9a2348c2af0102a47eb97f79h.jpg,https://ae04.alicdn.com/kf/H9f0dca66ea5a48abbd3199cb766cbff6g.jpg,https://ae04.alicdn.com/kf/H0fbba5f050524e4f914acb092a8f9a9cp.jpg,https://ae04.alicdn.com/kf/Hfe6ab0453896421385ee40c59e3a063fV.jpg,",https://www.aliexpress.com/item/1005003376928671.html,15.00,12.75,10.00%,2098-12-31,15%,https://s.click.aliexpress.com/e/_AS2K71
Electronic Toys,200001388,Inductive Sound Voice Control Bird Cage Funny Toy pet Toy Animal Simulation Birdcage Kids Toy Gift Garden Ornaments Light music,1005002311836563,https://ae01.alicdn.com/kf/H831fa08d12614a7aac720f2771475897E/Inductive-Sound-Voice-Control-Bird-Cage-Funny-Toy-pet-Toy-Animal-Simulation-Birdcage-Kids-Toy-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H831fa08d12614a7aac720f2771475897E.jpg,https://ae04.alicdn.com/kf/H94e40b42ca3148c9bbf54a919cd74fde6.jpg,https://ae04.alicdn.com/kf/He488e9e33f3f4c81b23f431d22b10fa4E.jpg,https://ae04.alicdn.com/kf/H5a2ce9dc7fb148cd8d571709b75989a1A.jpg,https://ae04.alicdn.com/kf/H9617ab8e0a02404fad44ad27520e8878o.jpg,",https://www.aliexpress.com/item/1005002311836563.html,8.14,6.51,9.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_9uqGAP
