Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Leggings,200000865,Sportwear Workout Leggings Women Leggings Elastic High Waist Pants Leopard Summer Printed Stripe Sexy Fitness Leggings,1005003408101481,https://ae01.alicdn.com/kf/Ha7c706c96ed949e998dc0fb18cc0f1f24/Sportwear-Workout-Leggings-Women-Leggings-Elastic-High-Waist-Pants-Leopard-Summer-Printed-Stripe-Sexy-Fitness-Leggings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha7c706c96ed949e998dc0fb18cc0f1f24.jpg,https://ae04.alicdn.com/kf/Haba1dac2da274727be6c3f7714e1acf4U.jpg,https://ae04.alicdn.com/kf/Hacc340ef4e75494f84b5458856d9ca22B.jpg,https://ae04.alicdn.com/kf/H31365c853c0243eba7cdf15c34ec514eR.jpg,https://ae04.alicdn.com/kf/Hfec71a5705e743b88149e12ab1f29986Z.jpg,",https://www.aliexpress.com/item/1005003408101481.html,14.98,9.74,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AaHDdD
Leggings,200000865,Leather Shiny Sexy Leggings for Women Vadim 2021 Summer High Waist Black Stretchy Faux Leather Pant Mujer Leggings Ropa,1005003183280626,https://ae01.alicdn.com/kf/H90cdb478c337480f87db4c369dd04c5e9/Leather-Shiny-Sexy-Leggings-for-Women-Vadim-2021-Summer-High-Waist-Black-Stretchy-Faux-Leather-Pant.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H90cdb478c337480f87db4c369dd04c5e9.jpg,https://ae04.alicdn.com/kf/H1aba28ea4491473cbdb95f1ebdf455f9X.jpg,https://ae04.alicdn.com/kf/H9c6ba481d78f47659f8f0eed51aaa94c4.jpg,https://ae04.alicdn.com/kf/Hd5b2db37e8824aeda55271161860a90aH.jpg,https://ae04.alicdn.com/kf/H4cff7186dcf84a4c9bdf2f4df25b2031m.jpg,",https://www.aliexpress.com/item/1005003183280626.html,2.16,1.19,38.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_Aos4lV
Leggings,200000865,Women Yoga Leggings Gym Women Sport Fitness Leggings Letter Print Stretch Leggins High Waist Elastic Sexy Black Pants,1005003408159211,https://ae01.alicdn.com/kf/H70bb8ba4f07a4020baa1e3bd05851cecQ/Women-Yoga-Leggings-Gym-Women-Sport-Fitness-Leggings-Letter-Print-Stretch-Leggins-High-Waist-Elastic-Sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H70bb8ba4f07a4020baa1e3bd05851cecQ.jpg,https://ae04.alicdn.com/kf/Ha1b75e44aa4e4f2b931c52ea67845017I.jpg,https://ae04.alicdn.com/kf/H7f45b73f8d54448c8ecc488e1ddedc5aZ.jpg,https://ae04.alicdn.com/kf/H2c5bca60c27243c78b651e0ccd314d38O.jpg,https://ae04.alicdn.com/kf/Hf050b6405abb43d5b1424e726efab166Z.jpg,",https://www.aliexpress.com/item/1005003408159211.html,16.48,10.71,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AT5EQX
Leggings,200000865,Fashion Women Pants Floral Printed Stretch Fitness Leggings Women Exercise Female Elastic Leggins Push Up Trousers,1005003408050861,https://ae01.alicdn.com/kf/Ha972f3dd4bb14ddc84d16f5d07b9ae009/Fashion-Women-Pants-Floral-Printed-Stretch-Fitness-Leggings-Women-Exercise-Female-Elastic-Leggins-Push-Up-Trousers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha972f3dd4bb14ddc84d16f5d07b9ae009.jpg,https://ae04.alicdn.com/kf/H6cec165042b24d6fabeb3a51573cd82eA.jpg,https://ae04.alicdn.com/kf/H00c5b49a74b6466faa366572c6cb4ec8h.jpg,https://ae04.alicdn.com/kf/H1c37f56b0bc34653af823c5865e03efdg.jpg,https://ae04.alicdn.com/kf/Hd52a3198fba94268a033ff4aca5264d8f.jpg,",https://www.aliexpress.com/item/1005003408050861.html,14.82,9.63,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9vtVbV
Leggings,200000865,S-5XL Plus Size Warm Winter Leggings Women Warm Velvet Pants Leggins High Waist Thick Legging Winter Pant Trousers Women,1005003389073728,https://ae01.alicdn.com/kf/H3132349e8dce464ea4a18168ca76f021n/S-5XL-Plus-Size-Warm-Winter-Leggings-Women-Warm-Velvet-Pants-Leggins-High-Waist-Thick-Legging.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3132349e8dce464ea4a18168ca76f021n.jpg,https://ae04.alicdn.com/kf/H7d4b60f4576648c4a89cc61e2e9164efK.jpg,https://ae04.alicdn.com/kf/Haf1cd261d6a94bb69e7568a33dcd8b03t.jpg,https://ae04.alicdn.com/kf/Hc37edb0445a74d8a840e328a2a187eb24.jpg,https://ae04.alicdn.com/kf/Hae9124fdb9de47bc97d29af187554acfM.jpg,",https://www.aliexpress.com/item/1005003389073728.html,25.67,12.83,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ATRCMx
Leggings,200000865,Women Fitness Tight Leggings Seamless High Waist Push Up mesh Legging Breathable Sport Women Fitness Sexy Gym Yoga Pants,1005003393847241,https://ae01.alicdn.com/kf/H55254c22657a4d758879379eb8df88fbx/Women-Fitness-Tight-Leggings-Seamless-High-Waist-Push-Up-mesh-Legging-Breathable-Sport-Women-Fitness-Sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H55254c22657a4d758879379eb8df88fbx.jpg,https://ae04.alicdn.com/kf/H5dcb6fd07c4d4939bbf8b641119dcc74Y.jpg,https://ae04.alicdn.com/kf/Hb55948adcac84b1590bd7153b9f9c05f5.jpg,https://ae04.alicdn.com/kf/H0b3cc67bba4742bc9e4c7799a8fb8f232.jpg,https://ae04.alicdn.com/kf/H26ecdabea1bf47ac9295e9f641a08bd6J.jpg,",https://www.aliexpress.com/item/1005003393847241.html,20.30,10.15,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AlW2np
Leggings,200000865,Fitness Women Leggings Sexy PU Pants High Waist Leggings Solid Black Color Fashion Female Leggings Push Up Pants,1005003402657041,https://ae01.alicdn.com/kf/H5c55213c3c4e424190a607ed64f2347aC/Fitness-Women-Leggings-Sexy-PU-Pants-High-Waist-Leggings-Solid-Black-Color-Fashion-Female-Leggings-Push.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5c55213c3c4e424190a607ed64f2347aC.jpg,https://ae04.alicdn.com/kf/H39ce663a422f443183ba1e2dd9b6fc0c7.jpg,https://ae04.alicdn.com/kf/H75f75b8dde86417499a8477993c79650F.jpg,https://ae04.alicdn.com/kf/Hc705a7010f15434480cd1e2e308e2065K.jpg,https://ae04.alicdn.com/kf/H0b41186cea5c48ceb3cee991d17922a0Y.jpg,",https://www.aliexpress.com/item/1005003402657041.html,18.40,11.96,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_A1vbwx
Leggings,200000865,Women Sexy Leggings Summer Capris Neon High Waist Jeggings Spandex Female Fitness Thin Short Pants,1005003387302692,https://ae01.alicdn.com/kf/Hbd42fa8dba8044499e91cd960ec2af930/Women-Sexy-Leggings-Summer-Capris-Neon-High-Waist-Jeggings-Spandex-Female-Fitness-Thin-Short-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbd42fa8dba8044499e91cd960ec2af930.jpg,https://ae04.alicdn.com/kf/Hc014c5d5841243969234f5629ddb23dbZ.jpg,https://ae04.alicdn.com/kf/Ha5c2bfc690c54a1aa84c5a5e402e3ab2D.jpg,https://ae04.alicdn.com/kf/Ha1c0e62cd1644931a38371864cdedf62c.jpg,https://ae04.alicdn.com/kf/H2a017a8539614979842f83274d6bb0f8n.jpg,",https://www.aliexpress.com/item/1005003387302692.html,16.34,8.17,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9QfcTD
Leggings,200000865,Sexy Leggings Flower Pattern Women Running Pants Workout High Waist Gym Stretch Sportswear Pants,1005003408125410,https://ae01.alicdn.com/kf/H108da17cf31c4eab8d50f4635ba3a77eX/Sexy-Leggings-Flower-Pattern-Women-Running-Pants-Workout-High-Waist-Gym-Stretch-Sportswear-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H108da17cf31c4eab8d50f4635ba3a77eX.jpg,https://ae04.alicdn.com/kf/H93d19ab27939440f9ad2dccf909537d8K.jpg,https://ae04.alicdn.com/kf/Ha1e8aee55680492dbd55f6422aff8307J.jpg,https://ae04.alicdn.com/kf/H4d30fb8880d3498bb9768f6d3eaeb9ffh.jpg,https://ae04.alicdn.com/kf/H683a55f4392b464b98e8e76e893897f9P.jpg,",https://www.aliexpress.com/item/1005003408125410.html,14.82,9.63,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_ALjKGb
Leggings,200000865,FANSILANEN Black High Stretch Leggings Women's Outer Wear Pants Summer Thin Shark Pants Skinny Pants Leggings Women Sexy,1005002504392518,https://ae01.alicdn.com/kf/Ha6581db604f74470b72cd3ab7ccc613aK/FANSILANEN-Black-High-Stretch-Leggings-Women-s-Outer-Wear-Pants-Summer-Thin-Shark-Pants-Skinny-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha6581db604f74470b72cd3ab7ccc613aK.jpg,https://ae04.alicdn.com/kf/H306df5d5bb6f4a3690608ee0a27b5846v.jpg,https://ae04.alicdn.com/kf/Hf90194d88eaf43fea40c48e0737d6e71u.jpg,https://ae04.alicdn.com/kf/H5ba81faa53a44c04986a0cf635eb5eb4n.jpg,https://ae04.alicdn.com/kf/Hed8b97b9cc84486ca26956af61429b6bn.jpg,",https://www.aliexpress.com/item/1005002504392518.html,48.72,24.36,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AgCk19
Leggings,200000865,Graffiti Leggings Floral Patterned Print Leggins For Women Leggings Houndstooth Sale Elastic Design Vintage Leggins W056,1005003387276896,https://ae01.alicdn.com/kf/Hfd454a7accb247b28a5f824246a21a483/Graffiti-Leggings-Floral-Patterned-Print-Leggins-For-Women-Leggings-Houndstooth-Sale-Elastic-Design-Vintage-Leggins-W056.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfd454a7accb247b28a5f824246a21a483.jpg,https://ae04.alicdn.com/kf/Hd0fb72717d88428da09bd23333189c151.jpg,https://ae04.alicdn.com/kf/Hcbea0c5d7ee44ffc873d2923369592dbO.jpg,https://ae04.alicdn.com/kf/H62d90e00cb3f44d58d3eeb1a0c3c5465t.jpg,https://ae04.alicdn.com/kf/H93658497cead43c48a2d30246e332f73S.jpg,",https://www.aliexpress.com/item/1005003387276896.html,19.94,9.97,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9RPmEP
Leggings,200000865,Women Camouflage Leggings Fitness Military Army Green Leggings Workout Pants Sporter Skinny Adventure Leggins,1005003387261538,https://ae01.alicdn.com/kf/H5f6b02ce668641c0bd3565ff6dd1c64cS/Women-Camouflage-Leggings-Fitness-Military-Army-Green-Leggings-Workout-Pants-Sporter-Skinny-Adventure-Leggins.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5f6b02ce668641c0bd3565ff6dd1c64cS.jpg,https://ae04.alicdn.com/kf/H0d2bdf3872c44cdd80c687b2bfa3dfe5H.jpg,https://ae04.alicdn.com/kf/H935c01feaf5b4ae7b112f01c82a8f086M.jpg,https://ae04.alicdn.com/kf/H0c6f04005bee41b0acddf3768e2d42d4u.jpg,https://ae04.alicdn.com/kf/Hd1e5bfe9163941d1ab1bf4c016bf3152B.jpg,",https://www.aliexpress.com/item/1005003387261538.html,19.94,9.97,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ASURtp
Leggings,200000865,Winter Leggings Knitting Velvet Casual Legging New High Elastic Thicken Lady's Warm Black Pants Skinny Pants For Women Leggings,1005003387208803,https://ae01.alicdn.com/kf/H6b706ed86fbe4d4fb2312a877db03781k/Winter-Leggings-Knitting-Velvet-Casual-Legging-New-High-Elastic-Thicken-Lady-s-Warm-Black-Pants-Skinny.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6b706ed86fbe4d4fb2312a877db03781k.jpg,https://ae04.alicdn.com/kf/Hbcef5fce0be04469867b71a8f861b7d2O.jpg,https://ae04.alicdn.com/kf/H546be8d900044df28b31c93b8ba53376r.jpg,https://ae04.alicdn.com/kf/H758d8b0f1bf04e1c8abfc4a5ff256ac4i.jpg,https://ae04.alicdn.com/kf/H3bba18b226144ff0aed72c2664f1864e3.jpg,",https://www.aliexpress.com/item/1005003387208803.html,21.42,10.71,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9hybab
Leggings,200000865,Autumn And Winter Fashion Fleece And Thick All-match Slim Large Size Warm Leggings Women's High Waist Casual Elastic Pants,1005003408285502,https://ae01.alicdn.com/kf/H04d651aac8d6488e9109870ca550e3cdv/Autumn-And-Winter-Fashion-Fleece-And-Thick-All-match-Slim-Large-Size-Warm-Leggings-Women-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H04d651aac8d6488e9109870ca550e3cdv.jpg,https://ae04.alicdn.com/kf/H80094c6b644e4a138e4dae7ebe504dfeK.jpg,https://ae04.alicdn.com/kf/H249a8e550c38448cbefeb5f44d36d63aE.jpg,https://ae04.alicdn.com/kf/H394a3337b40944cfa936aacf0d56a14bT.jpg,https://ae04.alicdn.com/kf/Hc22a193bd1cb41e7a3f0a941460580ff0.jpg,",https://www.aliexpress.com/item/1005003408285502.html,44.59,24.52,9.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_AeG76b
Leggings,200000865,2021 Fall/winter Padded Yoga Pants Stretch Exercise Leggings High-waisted Tights Workout Pants Running Women's Fitness Leggings,1005003408276348,https://ae01.alicdn.com/kf/H924d7a632b3b44b7be4e7905a8141c0bk/2021-Fall-winter-Padded-Yoga-Pants-Stretch-Exercise-Leggings-High-waisted-Tights-Workout-Pants-Running-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H924d7a632b3b44b7be4e7905a8141c0bk.jpg,https://ae04.alicdn.com/kf/H224fa10b8f9848899fc2283391c603c6d.jpg,https://ae04.alicdn.com/kf/H7093a049aadc48168827fbacd330612fb.jpg,https://ae04.alicdn.com/kf/Hddfc2e2fe6be4e61ad4461531cde6b07f.jpg,https://ae04.alicdn.com/kf/H78d43cb7c54f4b329fbb3079ad1f8451I.jpg,",https://www.aliexpress.com/item/1005003408276348.html,39.58,21.77,9.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_AY6Y0F
