Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Men's Sleep & Lounge,200001813,Mens Cotton Safety Satin Pajamas Pyjamas Set Sleepwear Loungewear  Fits All Season Gifts Best Optional Free Delivery,1005003387517921,https://ae01.alicdn.com/kf/Hdf44d77cb5dc4894901ff89c7b0a168fb/Mens-Cotton-Safety-Satin-Pajamas-Pyjamas-Set-Sleepwear-Loungewear-Fits-All-Season-Gifts-Best-Optional-Free.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdf44d77cb5dc4894901ff89c7b0a168fb.jpg,https://ae04.alicdn.com/kf/H935666b8b910417886bc1db1b9c0e4c5t.jpg,https://ae04.alicdn.com/kf/Hcb812727d09f482eab682a4508b11dedE.jpg,https://ae04.alicdn.com/kf/H880d743e60914f4393ea903fe513c49d5.jpg,https://ae04.alicdn.com/kf/Hd064c4799ce8411191764dae55fbf20by.jpg,",https://www.aliexpress.com/item/1005003387517921.html,322.00,322.00,8.00%,,0%,https://s.click.aliexpress.com/e/_AdfIb1
Men's Sleep & Lounge,200001813,Winter Flannel Pajamas for Men Thick Pajama Male Warm Pajamas Lovely Panda Sleepwear Lounge Set Casual Plaid Patwork Pijama 2021,1005003439385737,https://ae01.alicdn.com/kf/H9ad78f2a5f6540f9a216c28f0e5d542ec/Winter-Flannel-Pajamas-for-Men-Thick-Pajama-Male-Warm-Pajamas-Lovely-Panda-Sleepwear-Lounge-Set-Casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9ad78f2a5f6540f9a216c28f0e5d542ec.jpg,https://ae04.alicdn.com/kf/H4f08b03fd54343ee8796248b5b4b8facd.jpg,https://ae04.alicdn.com/kf/H5863649c675542b8993df8c75a0d581cn.jpg,https://ae04.alicdn.com/kf/H050032b73b004674b6b0219cb6a9a6b1l.jpg,https://ae04.alicdn.com/kf/H8c5eeae3597144afb13e54eeb9660ac8Z.jpg,",https://www.aliexpress.com/item/1005003439385737.html,31.98,15.99,12.00%,,50%,https://s.click.aliexpress.com/e/_A33bFz
Men's Sleep & Lounge,200001813,Men Sleep Shorts Solid Color Hollow Out Homewear Elastic Waist Sleep Bottoms Sexy Breathable 2021 Fitness Mens Shorts INCERUN,1005003090946554,https://ae01.alicdn.com/kf/Hdbd005c7cd9b48ad9ece44f3963b1c01u/Men-Sleep-Shorts-Solid-Color-Hollow-Out-Homewear-Elastic-Waist-Sleep-Bottoms-Sexy-Breathable-2021-Fitness.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdbd005c7cd9b48ad9ece44f3963b1c01u.jpg,https://ae04.alicdn.com/kf/Hc192a820ade848549ee29b07afe2df87g.jpg,https://ae04.alicdn.com/kf/H15d78f46478a407fb36cf8275340a17cU.jpg,https://ae04.alicdn.com/kf/H48df8d7ac3ae4bdab6f10b44ca0515dbL.jpg,https://ae04.alicdn.com/kf/H80031bf62467473d9c9592af42b5819eb.jpg,",https://www.aliexpress.com/item/1005003090946554.html,19.25,11.55,10.50%,,40%,https://s.click.aliexpress.com/e/_9Im6vd
Men's Sleep & Lounge,200001813,New Winter 2021 Pajamas Men's Coral Velvet Thickened Plush Warm Spring and Autumn Winter Men's Flannel Home Clothes Winter Suit,1005003439440133,https://ae01.alicdn.com/kf/H66225bc749744760931a8bf0e383287az/New-Winter-2021-Pajamas-Men-s-Coral-Velvet-Thickened-Plush-Warm-Spring-and-Autumn-Winter-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H66225bc749744760931a8bf0e383287az.jpg,https://ae04.alicdn.com/kf/H389dc5f4b0d6426580a7cff502d70f74X.jpg,https://ae04.alicdn.com/kf/H79e79b9ed4c94e9db728626778329e96K.jpg,https://ae04.alicdn.com/kf/Hc3bb271dabf0464f81a0a142bcee5b95e.jpg,https://ae04.alicdn.com/kf/H94511109ac564d02a8728d31d6ad079f6.jpg,",https://www.aliexpress.com/item/1005003439440133.html,31.80,15.90,12.00%,,50%,https://s.click.aliexpress.com/e/_AKcXfl
Men's Sleep & Lounge,200001813,Pajama Set Winter Pajamas Men's Thickened Cartoon Large Size 110KG Can Wear Teenagers Sleepwear for Women Robe Sets Women Suit,1005003455838717,https://ae01.alicdn.com/kf/H8f3ec70712b440da9978e703e5493587v/Pajama-Set-Winter-Pajamas-Men-s-Thickened-Cartoon-Large-Size-110KG-Can-Wear-Teenagers-Sleepwear-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8f3ec70712b440da9978e703e5493587v.jpg,https://ae04.alicdn.com/kf/H16cfad85baf24bbc88627435c5c8e36dY.jpg,https://ae04.alicdn.com/kf/Ha225d8f0240f44cd8e70b5252d96c8d9y.jpg,https://ae04.alicdn.com/kf/H5647eff099274331bb64584c6d9760b9y.jpg,https://ae04.alicdn.com/kf/Hcd07d6a58fa34b1f8933c6b7252a728eH.jpg,",https://www.aliexpress.com/item/1005003455838717.html,63.09,37.85,8.00%,,40%,https://s.click.aliexpress.com/e/_AXViJZ
Men's Sleep & Lounge,200001813,Male Erotic Costume Lace Bathrobe Long Robe Nightwear Kimono Nightgown Sexy Sleepwear Home Wear  Home Wear With T-back,1005003042275917,https://ae01.alicdn.com/kf/He6e0b00447654bd69713a76067aa8b9fW/Male-Erotic-Costume-Lace-Bathrobe-Long-Robe-Nightwear-Kimono-Nightgown-Sexy-Sleepwear-Home-Wear-Home-Wear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He6e0b00447654bd69713a76067aa8b9fW.jpg,https://ae04.alicdn.com/kf/Ha7bb6676657847bab2a5b424e1a3f132I.jpg,https://ae04.alicdn.com/kf/Ha1de785056f342688dc46e8291fefd5cA.jpg,https://ae04.alicdn.com/kf/Ha7f89b5fed934ecfb12d9e78cf4b2404M.jpg,https://ae04.alicdn.com/kf/H74e2f989a2a54cb4b7d5b3a1584de1a7T.jpg,",https://www.aliexpress.com/item/1005003042275917.html,13.84,9.96,12.00%,,28%,https://s.click.aliexpress.com/e/_AFHPEL
Men's Sleep & Lounge,200001813,Men Pajamas Jumpsuit Homewear Solid Color Long Sleeve Comfortable Button Leisure Sleepwear Men Rompers Nightwear S-3XL,1005003367936358,https://ae01.alicdn.com/kf/H798ba7427eb24e6cbd9f5313254ac92cJ/Men-Pajamas-Jumpsuit-Homewear-Solid-Color-Long-Sleeve-Comfortable-Button-Leisure-Sleepwear-Men-Rompers-Nightwear-S.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H798ba7427eb24e6cbd9f5313254ac92cJ.jpg,https://ae04.alicdn.com/kf/H28d95188e19b46a3aa432b1209e3bc84o.jpg,https://ae04.alicdn.com/kf/Hea52673748f74c088ac3d13e6ea19067N.jpg,https://ae04.alicdn.com/kf/Ha35dbb0b34604dd1962aeb2f4896d8d2Z.jpg,https://ae04.alicdn.com/kf/H3c15356ebda24ada889faff20be678bbH.jpg,",https://www.aliexpress.com/item/1005003367936358.html,243.50,121.75,8.00%,,50%,https://s.click.aliexpress.com/e/_Ats62J
Men's Sleep & Lounge,200001813,Unisex Adult Couple Pajamas Men Pyjamas Set Thicken Female Sleepwear Winter Warm Flannel Cute Animal Cartoon Home Service Pyjama,1005003439861085,https://ae01.alicdn.com/kf/H554f188b8e7f4ffa8463225faa33f25fv/Unisex-Adult-Couple-Pajamas-Men-Pyjamas-Set-Thicken-Female-Sleepwear-Winter-Warm-Flannel-Cute-Animal-Cartoon.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H554f188b8e7f4ffa8463225faa33f25fv.jpg,https://ae04.alicdn.com/kf/H1680201898864fe3a2c8f95ecf3c18113.jpg,https://ae04.alicdn.com/kf/Hb9d3f0f816a642d9adeed797beb8e804N.jpg,https://ae04.alicdn.com/kf/H16d6a48f581343bba6ce53e037d674dbg.jpg,https://ae04.alicdn.com/kf/H7bc5113af858460683837aa988c7324el.jpg,",https://www.aliexpress.com/item/1005003439861085.html,37.90,18.95,12.00%,,50%,https://s.click.aliexpress.com/e/_9yQpO3
Men's Sleep & Lounge,200001813,New 2022 Men Pajama Casual Pajama Sets Breathable Air Cotton Plaid Print Pijama Embroidery Elastic Waist Male Pajamas Homewear,1005003439651225,https://ae01.alicdn.com/kf/H4738a0da1e76421693272bbd4e348edfu/New-2022-Men-Pajama-Casual-Pajama-Sets-Breathable-Air-Cotton-Plaid-Print-Pijama-Embroidery-Elastic-Waist.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4738a0da1e76421693272bbd4e348edfu.jpg,https://ae04.alicdn.com/kf/H421bf9793d9749239d1533788fc8643e0.jpg,https://ae04.alicdn.com/kf/Hb770c2cf689d43c6aa8a091ba6069945A.jpg,https://ae04.alicdn.com/kf/H6a6061a4844344a981ddf1e1cff4e6f3i.jpg,https://ae04.alicdn.com/kf/Hac3538474dfa405d8a1db825dbbe63b4p.jpg,",https://www.aliexpress.com/item/1005003439651225.html,19.96,9.98,12.00%,,50%,https://s.click.aliexpress.com/e/_Ak1MWf
Men's Sleep & Lounge,200001813,Men Camouflage Tracksuit Set Autumn Zipper Sweatshirt Sport Suit Loungewear Long Sleeve Hoodies Sweetshirts Chandal Hombre,1005003415624518,https://ae01.alicdn.com/kf/H8c0f640c245244e688bab749423bd2fdu/Men-Camouflage-Tracksuit-Set-Autumn-Zipper-Sweatshirt-Sport-Suit-Loungewear-Long-Sleeve-Hoodies-Sweetshirts-Chandal-Hombre.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8c0f640c245244e688bab749423bd2fdu.jpg,https://ae04.alicdn.com/kf/Hd14923e08eac4da692d1598f7d15534dX.jpg,https://ae04.alicdn.com/kf/H45cbacf1ab74422bae404a165aeab351P.jpg,https://ae04.alicdn.com/kf/Hf8c1490b43d84eaf8483c5b2a8ee464aD.jpg,https://ae04.alicdn.com/kf/H3111628716f4462e81e92e046fc0e5388.jpg,",https://www.aliexpress.com/item/1005003415624518.html,39.55,19.77,10.00%,,50%,https://s.click.aliexpress.com/e/_A0Gm4L
