Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Pet Products,100006664,Smart pet waterer pet waterer automatic circulating filter waterer with UV sterilization function,1005003444353349,https://ae01.alicdn.com/kf/Hf4ce783c81444168b03fcb0dec2ab1f9s/Smart-pet-waterer-pet-waterer-automatic-circulating-filter-waterer-with-UV-sterilization-function.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf4ce783c81444168b03fcb0dec2ab1f9s.jpg,https://ae04.alicdn.com/kf/H08463606c84847e98a23adfb5136613di.jpg,https://ae04.alicdn.com/kf/H6b0a6b8b02f4459589c55a3543462cefW.jpg,https://ae04.alicdn.com/kf/Hf97ec9a89afe4520a1bc5726699fd85du.jpg,https://ae04.alicdn.com/kf/H45af69e665ec4fae9bdfefee3c28b482a.jpg,",https://www.aliexpress.com/item/1005003444353349.html,28.78,23.02,8.00%,,20%,https://s.click.aliexpress.com/e/_AgPpGr
Pet Products,100006664,Blind Pet Anti-collision Ring Collar Blind Dogs Safe Halo Harness Pets Weak Color Guide Circle Animal Protection Guiding Circle,1005003415044739,https://ae01.alicdn.com/kf/Hdff239290d1147dab8719c115e6129351/Blind-Pet-Anti-collision-Ring-Collar-Blind-Dogs-Safe-Halo-Harness-Pets-Weak-Color-Guide-Circle.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdff239290d1147dab8719c115e6129351.jpg,https://ae04.alicdn.com/kf/Hb335dd5a7a744ce1a1f27b233b33b913Z.jpg,https://ae04.alicdn.com/kf/H747b1fb0fa9d43c7b8d02fc0a07815174.jpg,https://ae04.alicdn.com/kf/Hf5f87ed3abc942919e65ac5b024d37c4E.jpg,https://ae04.alicdn.com/kf/H386bd3ecf89b43439e010be361603e00x.jpg,",https://www.aliexpress.com/item/1005003415044739.html,19.00,13.68,8.00%,,28%,https://s.click.aliexpress.com/e/_9RI3ND
Pet Products,100006664,Plush Octopus Soft Dog Stuffed for Large Dogs Cute Pet Chew Toy Interactive Intimate Supplies Fleece Squeaky Toys Indestructible,1005003421295842,https://ae01.alicdn.com/kf/Hd9d8c5edbc17472d8d81f3685e35ed41H/Plush-Octopus-Soft-Dog-Stuffed-for-Large-Dogs-Cute-Pet-Chew-Toy-Interactive-Intimate-Supplies-Fleece.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd9d8c5edbc17472d8d81f3685e35ed41H.jpg,https://ae04.alicdn.com/kf/Hc30db6c5a60f4a9cb73b9691d438493bj.jpg,https://ae04.alicdn.com/kf/Hcb7de6c0b90f47cfa59216997f1f2c35f.jpg,https://ae04.alicdn.com/kf/H89c2282060c04cadba837710434b90a4n.jpg,https://ae04.alicdn.com/kf/Hd9c0b1ebe4794683a2ab294d00ebfdaeG.jpg,",https://www.aliexpress.com/item/1005003421295842.html,6.00,3.00,8.00%,,50%,https://s.click.aliexpress.com/e/_AMwZAb
Pet Products,100006664,2pcs Natural Catnip Toys For Cats Mint Leaf Cat Catnip Treat Balls Edible Treating Cleaning Teeth Rotating Puzzle Ball,1005003415030658,https://ae01.alicdn.com/kf/H6d69abbe364a4ace867d32d8dee27effJ/2pcs-Natural-Catnip-Toys-For-Cats-Mint-Leaf-Cat-Catnip-Treat-Balls-Edible-Treating-Cleaning-Teeth.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6d69abbe364a4ace867d32d8dee27effJ.jpg,https://ae04.alicdn.com/kf/H1d58b03a058443e4b39bda4a98d1c71bT.jpg,https://ae04.alicdn.com/kf/H80a61f06ebe54abbbfed6664980a719eN.jpg,https://ae04.alicdn.com/kf/Hb168161c40074416acf3d24e520cc9beF.jpg,https://ae04.alicdn.com/kf/H98555123201a4a028033e7f10a2b06ffV.jpg,",https://www.aliexpress.com/item/1005003415030658.html,13.50,9.72,8.00%,,28%,https://s.click.aliexpress.com/e/_AS2DnV
Pet Products,100006664,Ceramic Cat Bowl Dog Bowl Easy To Clean Pet Feeding Large Cat Water Bowl For Flat Faced Cats Pet Product Supplies Non-Slip,1005002967933668,https://ae01.alicdn.com/kf/H455e5e34ddb849cfa6e80731b9043c95q/Ceramic-Cat-Bowl-Dog-Bowl-Easy-To-Clean-Pet-Feeding-Large-Cat-Water-Bowl-For-Flat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H455e5e34ddb849cfa6e80731b9043c95q.jpg,https://ae04.alicdn.com/kf/H82659b63925a40d692526f860c7758a8Q.jpg,https://ae04.alicdn.com/kf/Hc228a021d2a74071bc5234b9690eae6fe.jpg,https://ae04.alicdn.com/kf/He28a2d87a75e46faac99593d8f1b0fc2Q.jpg,https://ae04.alicdn.com/kf/Hce516abd0ecb44ababe3bff4def264399.jpg,",https://www.aliexpress.com/item/1005002967933668.html,19.05,10.29,15.00%,,46%,https://s.click.aliexpress.com/e/_9uqT2T
Pet Products,100006664,French Bulldog Coat Jacket Camouflage Dog Clothes Winter Warm Pug Costume For Small Dogs Clothes Army Pet Clothing Dog Jackets,1005003450172605,https://ae01.alicdn.com/kf/H77d1ce479ee14e669727bc1b3afa17d7f/French-Bulldog-Coat-Jacket-Camouflage-Dog-Clothes-Winter-Warm-Pug-Costume-For-Small-Dogs-Clothes-Army.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H77d1ce479ee14e669727bc1b3afa17d7f.jpg,https://ae04.alicdn.com/kf/H28ceee67fa9c44c180b99dade12f9eff8.jpg,https://ae04.alicdn.com/kf/He590f9bb165d4f53a60f2c5753cf461bj.jpg,https://ae04.alicdn.com/kf/Hf80974077db8444086389f81337d48c2S.jpg,https://ae04.alicdn.com/kf/Hd38ba54bb4b146a089b73e3dc9fa550cq.jpg,",https://www.aliexpress.com/item/1005003450172605.html,36.37,17.82,8.00%,,51%,https://s.click.aliexpress.com/e/_AMk0C7
Pet Products,100006664,3ps of pet anti flea and lice cat collar pet external insect repellent collar dog supplies cat accessories lovely bell Necklace,1005003414957459,https://ae01.alicdn.com/kf/Hcf01a5e0b83b4ff98b91264936f13a75y/3ps-of-pet-anti-flea-and-lice-cat-collar-pet-external-insect-repellent-collar-dog-supplies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcf01a5e0b83b4ff98b91264936f13a75y.jpg,https://ae04.alicdn.com/kf/H8210ed0159b44a7bbd113168ae005e8a3.jpg,https://ae04.alicdn.com/kf/H0788e4fe89ea41679a4ae14f998d4feax.jpg,https://ae04.alicdn.com/kf/H94428c9e31c6487491e8afcbfbbc04d6f.jpg,https://ae04.alicdn.com/kf/H3cf7b93c34bb449c9c4a96cff53ef3b5t.jpg,",https://www.aliexpress.com/item/1005003414957459.html,14.50,10.44,8.00%,,28%,https://s.click.aliexpress.com/e/_AdHIcb
Pet Products,100006664,Soft Dog Cat Cone Collar for After Surgery Anti-Bite Lick Dog Recovery Collar Elizabethan Translucent Reusable Soft Dog Cone,1005003418043687,https://ae01.alicdn.com/kf/He72878d2a5db45599eccc99f789efb76V/Soft-Dog-Cat-Cone-Collar-for-After-Surgery-Anti-Bite-Lick-Dog-Recovery-Collar-Elizabethan-Translucent.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He72878d2a5db45599eccc99f789efb76V.jpg,https://ae04.alicdn.com/kf/H4f69f740f5494be189154832ff8b5954r.jpg,https://ae04.alicdn.com/kf/H4b86edd6fc7746ce95ba2badd2e526b9x.jpg,https://ae04.alicdn.com/kf/H45c655a11c8a44c18e1517d4f135cf8e8.jpg,https://ae04.alicdn.com/kf/H141e5b4f8f5f4bff832b26d20e90b2e32.jpg,",https://www.aliexpress.com/item/1005003418043687.html,7.50,5.40,8.00%,,28%,https://s.click.aliexpress.com/e/_A0wm4x
Pet Products,100006664,58259 European standard pool special water temperature heater mobile pool fish pond accessories,1005003444338514,https://ae01.alicdn.com/kf/Had93c58c5dce417a8331295b8fa8485da/58259-European-standard-pool-special-water-temperature-heater-mobile-pool-fish-pond-accessories.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Had93c58c5dce417a8331295b8fa8485da.jpg,https://ae04.alicdn.com/kf/H61ea74f0cf0044c9b3fc1b6418ff82a82.jpg,",https://www.aliexpress.com/item/1005003444338514.html,181.18,144.94,8.00%,,20%,https://s.click.aliexpress.com/e/_9IQYrv
Pet Products,100006664,Velvet  Lace Pinny for Dogs Gauze Bowknot Puppy Necklace Cat Accessories Sweet Kitten Neck Decor Pet Bows Poodle Maltese Ragdoll,1005003416621232,https://ae01.alicdn.com/kf/Hf0b3b7b05b0e4122a953474ef6f8b1cdL/Velvet-Lace-Pinny-for-Dogs-Gauze-Bowknot-Puppy-Necklace-Cat-Accessories-Sweet-Kitten-Neck-Decor-Pet.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf0b3b7b05b0e4122a953474ef6f8b1cdL.jpg,https://ae04.alicdn.com/kf/H1c6d2df21ddc4dafbbc1d49a235deaf0k.jpg,https://ae04.alicdn.com/kf/H8ea931753b57408cbd1ab222bd72ac5fL.jpg,https://ae04.alicdn.com/kf/H62d55c6cdc3e4d2793024fde08bb61203.jpg,https://ae04.alicdn.com/kf/H85d057df89474994b2c6c8005a36aa1e6.jpg,",https://www.aliexpress.com/item/1005003416621232.html,8.00,5.76,8.00%,,28%,https://s.click.aliexpress.com/e/_Ae1j0r
