"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003051456777","https://ae04.alicdn.com/kf/Sd419bd28dc3f4daa8341ba5fa67734a0K.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/319266648741.mp4","Volantex 761-8 RC Airplane 2.4GHz 6-Axis Gyro F4U Corsair EPP Plane Glider Foam Trainer Warbird Fixed Wing RTF Propeller","USD 179.98","USD 89.99","50%","USD","7","USD 6.30","53","100.0%","https://s.click.aliexpress.com/e/_DewMEgX"
"1005003840528993","https://ae04.alicdn.com/kf/S5a5feb01d5884058b9b9bca4ec09f2e5S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/346672286118.mp4","38km/h 1/16 Fast Rc Cars Off Road 4x4 with 14LED Headlights,2.4G Waterproof Remote Control Monster Truck  for Adults and Kids","USD 101.24","USD 70.87","30%","USD","7","USD 4.96","26","93.3%","https://s.click.aliexpress.com/e/_DkQwrlz"
"1005002377210072","https://ae04.alicdn.com/kf/H70407921d45e4c6e97fdb06c131a240ey.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/304482987077.mp4","RCtown 40+MPH 1/18 Scale RC Car 2.4G 4WD High Speed Fast Remote Controlled Large TRACK HS 18311/18312 RC Car Toys For Kid's Gift","USD 74.39","USD 52.07","30%","USD","8.0","USD 4.17","56","76.0%","https://s.click.aliexpress.com/e/_DkrWSUn"
"1005004262280998","https://ae04.alicdn.com/kf/S827637a5d97a48a3b25225b0b06ad458S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100026635866.mp4","WLR/C RC Drone E99 K3 4K HD Single/Dual Camera Drone FPV 2.4GHz 4CH 6 Axis Foldable Quadcopter with Wifi Drone Toys for Kids","USD 43.14","USD 20.28","53%","USD","7","USD 1.42","30","100.0%","https://s.click.aliexpress.com/e/_DdNyZRt"
"1005003532715676","https://ae04.alicdn.com/kf/U309912c4c8944275975fe585e6d2eb20q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/335249348929.mp4","Type 10 RC Tank,1200mAh Lithium Battery  Independently Suspended Load-bearing Track Better Off-road Performanc，For Kids Gift","USD 81.77","USD 40.07","51%","USD","8.0","USD 3.21","57","86.3%","https://s.click.aliexpress.com/e/_DElNHjt"
"1005003215992739","https://ae04.alicdn.com/kf/S36c679fed34a46eaae9c63891d22aa56J.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/324551457190.mp4","Newest High-tech Remote Control Car 2.4G Amphibious Stunt RC Car Double-sided Tumbling Driving Children's Electric Toys for Boy","USD 50.57","USD 23.79","52%","USD","7","USD 1.67","2224","96.2%","https://s.click.aliexpress.com/e/_DlOPSIF"
"1005004397410199","https://ae04.alicdn.com/kf/Sa4fde4f4d5bd4637ac627df30be5126cq.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100066425526.mp4","2022 New F12 GPS Drone 4K Professional 6K HD Wide Angle ESC Camera WiFi FPV RC Helicopter Brushless Foldable Quadcopter Drones","USD 199.98","USD 99.99","50%","USD","7","USD 7.00","197","100.0%","https://s.click.aliexpress.com/e/_Dk25pl9"
"1005004560278238","https://ae04.alicdn.com/kf/S5d4cc955d46d4eb287f3859699b6b697y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100070230413.mp4","1:16 Lighting Spray Remote Control Car GTR Sports Car 4WD High Speed AE86 Drift Rc Car 2.4G Wireless Remote Control Car Kids Toy","USD 80.37","USD 31.34","61%","USD","8.0","USD 2.51","15","100.0%","https://s.click.aliexpress.com/e/_DEwqEK7"
"4000705751055","https://ae04.alicdn.com/kf/Hdb0642b5e98f4c138ea67605d91e5b0dj.jpg",,"Eachine E010 Mini 2.4G 4CH 6 Axis 3D Headless Mode Memory Function RC Quadcopter RTF RC Tiny Gift Present Kid Toys","USD 47.98","USD 25.43","47%","USD","3","USD 0.76","76","89.4%","https://s.click.aliexpress.com/e/_DeoT4WT"
"1005003826448785","https://ae04.alicdn.com/kf/S6d71ae404f124785b15412e39b202a99e.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100011490044.mp4","2022 New 4WD 1:16 Stunt RC Car With LED Light Gesture Induction Deformation Twist Climbing Radio Controlled Car Electronic Toys","USD 57.02","USD 27.37","52%","USD","7","USD 1.92","481","95.7%","https://s.click.aliexpress.com/e/_DE4nMsX"
