Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Stress Relief Toy,200246142,Cute Squishy Soft Fruit Package Peach Watermelon Banana Cake Toy Squishies Slow Rising Scented Squeeze Educational Toys For Baby,1005003297588421,https://ae01.alicdn.com/kf/H28fa7bc6e948404ca45ec3ed265e27f9h/Cute-Squishy-Soft-Fruit-Package-Peach-Watermelon-Banana-Cake-Toy-Squishies-Slow-Rising-Scented-Squeeze-Educational.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H28fa7bc6e948404ca45ec3ed265e27f9h.jpg,https://ae04.alicdn.com/kf/HLB1Ho16bjzuK1RjSsppq6xz0XXay.jpg,https://ae04.alicdn.com/kf/HLB1IbS1bcfrK1Rjy0Fmq6xhEXXaG.jpg,https://ae04.alicdn.com/kf/HLB1nca7bnHuK1RkSndVq6xVwpXaj.jpg,https://ae04.alicdn.com/kf/H0646c1ae6e7946a59d1ff1a311622463N.jpg,",https://www.aliexpress.com/item/1005003297588421.html,3.70,1.85,30.00%,,50%,https://s.click.aliexpress.com/e/_98vlcr
Stress Relief Toy,200246142,New Cute Simulation Ghosted Doll Squishy Slow Rising PU Smooth Soft Squeeze Toy Stress Relief Creative Fun Toy for Kid Gift 7*11,1005003022030184,https://ae01.alicdn.com/kf/H0440a55b302d444d893f8d624bdb5a06u/New-Cute-Simulation-Ghosted-Doll-Squishy-Slow-Rising-PU-Smooth-Soft-Squeeze-Toy-Stress-Relief-Creative.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0440a55b302d444d893f8d624bdb5a06u.jpg,https://ae04.alicdn.com/kf/H4a4cda8c495d427ab10fb222c49459a43.jpg,https://ae04.alicdn.com/kf/H0377ce48f8974016893e03b636650b24K.jpg,https://ae04.alicdn.com/kf/H79f55f4fd81646a592750669228eec13A.jpg,https://ae04.alicdn.com/kf/Haca922db32d94a6fa4a0b0a78c52ce13F.jpg,",https://www.aliexpress.com/item/1005003022030184.html,9.98,4.99,30.00%,,50%,https://s.click.aliexpress.com/e/_Ar0AN9
Stress Relief Toy,200246142,Pink Pig Elasticity Fidget Toys Antistress Squishy Toy  Hand Grip Surprise Christmas Gift Sensory Fidget Toys for Kids Adults,1005003429988216,https://ae01.alicdn.com/kf/H2aa765ae4555405988ed5f1cd0868a60M/Pink-Pig-Elasticity-Fidget-Toys-Antistress-Squishy-Toy-Hand-Grip-Surprise-Christmas-Gift-Sensory-Fidget-Toys.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2aa765ae4555405988ed5f1cd0868a60M.jpg,https://ae04.alicdn.com/kf/H9f0c9b6ee4834c399010724fcaf8ccbbY.jpg,https://ae04.alicdn.com/kf/Hecf92d06af814aeaa1363bf306dbf5faZ.jpg,https://ae04.alicdn.com/kf/H3d8f6cf0dfe34823a68bf8e937891aaaU.jpg,https://ae04.alicdn.com/kf/H5e7f578db7f0442cb65a0edc2c375ed46.jpg,",https://www.aliexpress.com/item/1005003429988216.html,6.64,3.92,8.00%,,41%,https://s.click.aliexpress.com/e/_A7DS9d
Stress Relief Toy,200246142,Anti Stress Finger Hand Grip Stress Relieve Fidget Toys Adult Child Simple Dimple Stress Figet Toys For Improving Hand Grasp,1005002910347314,https://ae01.alicdn.com/kf/Hb0cfd12288884ae4811f556c467bce72X/Anti-Stress-Finger-Hand-Grip-Stress-Relieve-Fidget-Toys-Adult-Child-Simple-Dimple-Stress-Figet-Toys.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb0cfd12288884ae4811f556c467bce72X.jpg,https://ae04.alicdn.com/kf/Hce2b6a004d4e4765a7813aacaa955e17L.jpg,https://ae04.alicdn.com/kf/H521452f65891494abf16b255cdeea3dae.jpg,https://ae04.alicdn.com/kf/H6377292f0fa448eda7aeff9daeafe364A.jpg,https://ae04.alicdn.com/kf/Hd708167feac446acaaf8aeee453f7f44a.jpg,",https://www.aliexpress.com/item/1005002910347314.html,14.00,7.00,12.00%,,50%,https://s.click.aliexpress.com/e/_Ablygb
Stress Relief Toy,200246142,Fidget Silica Gel Finger Puller Antistress Hand Ring Adult Finger Strength Training Band Toys for Children Squish Toy Gifts,1005002912137439,https://ae01.alicdn.com/kf/Had192461b3c842e68a482c8f860ed9391/Fidget-Silica-Gel-Finger-Puller-Antistress-Hand-Ring-Adult-Finger-Strength-Training-Band-Toys-for-Children.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Had192461b3c842e68a482c8f860ed9391.jpg,https://ae04.alicdn.com/kf/Hd4dacbca5d384643aa8499682c167d7a5.jpg,https://ae04.alicdn.com/kf/H75a39fc1efe54734a6499e1be4813c40n.jpg,https://ae04.alicdn.com/kf/H246e0efd5b6a49d1b51700744652f8c6s.jpg,https://ae04.alicdn.com/kf/Hdac4407b345a4ae28a0272b5e104465cU.jpg,",https://www.aliexpress.com/item/1005002912137439.html,7.98,3.99,15.00%,,50%,https://s.click.aliexpress.com/e/_AO25ax
Stress Relief Toy,200246142,3pcs Worm Noodle Stretch String TPR Rope Anti Stress Toys String Fidget Autism Vent Toys Random Color,1005002912484756,https://ae01.alicdn.com/kf/H60ed44e7255848ef9497f6a789c8e4b0j/3pcs-Worm-Noodle-Stretch-String-TPR-Rope-Anti-Stress-Toys-String-Fidget-Autism-Vent-Toys-Random.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H60ed44e7255848ef9497f6a789c8e4b0j.jpg,https://ae04.alicdn.com/kf/Heffecb6620d94ab09be2607234e01ffb8.jpg,https://ae04.alicdn.com/kf/H749f991c4cfa496b95190c73011cfa952.jpg,https://ae04.alicdn.com/kf/H353d12da220e4d1cb3b913bebdd7d7c1D.jpg,https://ae04.alicdn.com/kf/He312e21736d34c6a825216663c671a37i.jpg,",https://www.aliexpress.com/item/1005002912484756.html,6.49,3.24,12.00%,,50%,https://s.click.aliexpress.com/e/_AUryDH
Stress Relief Toy,200246142,Popcorn Cake Donut Squishy Slow Rising Squeeze Toys PU Simulation Snack Stress Stretch Kids Toy Party Birthday Festival Gift,1005003447004409,https://ae01.alicdn.com/kf/H74314c79f7994dcaaed1f02f720b6777s/Popcorn-Cake-Donut-Squishy-Slow-Rising-Squeeze-Toys-PU-Simulation-Snack-Stress-Stretch-Kids-Toy-Party.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H74314c79f7994dcaaed1f02f720b6777s.jpg,https://ae04.alicdn.com/kf/H530112b53fbb4369b5362696e6b3d4a1V.jpg,https://ae04.alicdn.com/kf/H6447281511074aa594b4f670ce87145ab.jpg,https://ae04.alicdn.com/kf/H758d81ed026341cdb78ffd813543f2196.jpg,https://ae04.alicdn.com/kf/H4dca6bf17c65495e93e0b34ee507f68cf.jpg,",https://www.aliexpress.com/item/1005003447004409.html,2.65,2.12,10.00%,,20%,https://s.click.aliexpress.com/e/_9j6hXV
Stress Relief Toy,200246142,Durable Potted Plant Toy Fully Filling 5 Colors Optional Succulent Green Plant Plush Doll  Plant Toy    Plant Plush Toy,1005003447148729,https://ae01.alicdn.com/kf/H554952aec117439cbdb840fdc2ed6aa2p/Durable-Potted-Plant-Toy-Fully-Filling-5-Colors-Optional-Succulent-Green-Plant-Plush-Doll-Plant-Toy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H554952aec117439cbdb840fdc2ed6aa2p.jpg,https://ae04.alicdn.com/kf/H4bf2ae1703224389816222a34e376606a.jpg,https://ae04.alicdn.com/kf/Hb22d9ae34ffb4cb587aedafe63fa5668h.jpg,https://ae04.alicdn.com/kf/Ha049d894e45d4fbcb39be02de4e49623D.jpg,https://ae04.alicdn.com/kf/He7c54cbe7fa04025a4de16f1b8e196f0s.jpg,",https://www.aliexpress.com/item/1005003447148729.html,3.61,2.74,8.00%,,24%,https://s.click.aliexpress.com/e/_ADzT5p
Stress Relief Toy,200246142,Fidget Toys Spinner Octopus  Autism Stress Relief Silicone Interactive Flip Octopus Change Faces Push Bubble Fidget Toy For Kids,1005003447636095,https://ae01.alicdn.com/kf/Hfb6bed8f0412474b81bc9de603bf39f46/Fidget-Toys-Spinner-Octopus-Autism-Stress-Relief-Silicone-Interactive-Flip-Octopus-Change-Faces-Push-Bubble-Fidget.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfb6bed8f0412474b81bc9de603bf39f46.jpg,https://ae04.alicdn.com/kf/H30bbef1efdc3459fa998ad63249e5e52P.jpg,https://ae04.alicdn.com/kf/Hc806b1df7bd94c31b27518e4053baa032.jpg,https://ae04.alicdn.com/kf/Hb92c248dfe794b95a7e07861b045fc3fv.jpg,https://ae04.alicdn.com/kf/H70c6108f117b4831870cb1517fcfc26dA.jpg,",https://www.aliexpress.com/item/1005003447636095.html,3.12,3.12,8.00%,,0%,https://s.click.aliexpress.com/e/_AVbvWF
Stress Relief Toy,200246142,Squid Game Pop It Push Bubbles Fidget Toys Anti Stress Set Relief Autism Anxiety Spinner Toy for Children Adults Christmas Gifts,1005003414512832,https://ae01.alicdn.com/kf/H7f67df83dd3f41ebbdc0c5eb6019ff41d/Squid-Game-Pop-It-Push-Bubbles-Fidget-Toys-Anti-Stress-Set-Relief-Autism-Anxiety-Spinner-Toy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7f67df83dd3f41ebbdc0c5eb6019ff41d.jpg,https://ae04.alicdn.com/kf/H7f504cd490d648a0aed256b7dd7d06b3O.jpg,https://ae04.alicdn.com/kf/Hb3163de07ea640728bacda52464806a2e.jpg,https://ae04.alicdn.com/kf/H042e4c9d2f714e55b1abc9f0b46f1bc8q.jpg,",https://www.aliexpress.com/item/1005003414512832.html,0.84,0.59,8.00%,,30%,https://s.click.aliexpress.com/e/_A7j0Ft
