Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Work Wear & Uniforms,200000668,Men Army Tactical Military Uniform Camouflage Combat Shirt Clothes Special Forces ACU Militar Uniforms For Man Coat Set,1005003697727342,https://ae01.alicdn.com/kf/S40e3f5a2f48b45cc89c5f31d4ead9b4fM/Men-Army-Tactical-Military-Uniform-Camouflage-Combat-Shirt-Clothes-Special-Forces-ACU-Militar-Uniforms-For-Man.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S40e3f5a2f48b45cc89c5f31d4ead9b4fM.jpg,https://ae04.alicdn.com/kf/Hefce761333fd4e6aa2f22cf093fea01eG.jpg,https://ae04.alicdn.com/kf/S473757fb051941519a1a8a1a3c23b5b0t.jpg,https://ae04.alicdn.com/kf/H4affc90a78ae48a69333b727ec633f08l.jpg,https://ae04.alicdn.com/kf/S21da9756ab9c4bdda0216c6852d17bf0Q.jpg,",https://www.aliexpress.com/item/1005003697727342.html,64.50,22.57,10.00%,,65%,https://s.click.aliexpress.com/e/_At4va4
Work Wear & Uniforms,200000668,"Work Clothes Men's Trousers Wear-resistant Scald-proof Cotton Loose Jeans, Electric Welder's Work Clothes on Construction Site",1005003733939078,https://ae01.alicdn.com/kf/Se776bf9b764a42b4b12b8170abe686d0l/Work-Clothes-Men-s-Trousers-Wear-resistant-Scald-proof-Cotton-Loose-Jeans-Electric-Welder-s-Work.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Se776bf9b764a42b4b12b8170abe686d0l.jpg,https://ae04.alicdn.com/kf/S412372936a7a477881db0f50081e3b2aF.jpg,https://ae04.alicdn.com/kf/Se57eedd8175f4d4db1c14a8184d782b4I.jpg,https://ae04.alicdn.com/kf/Sc14435d7504241bb8ab802888d00b8424.jpg,https://ae04.alicdn.com/kf/S76339ae7f35645a0babf1712d846bdcfe.jpg,",https://www.aliexpress.com/item/1005003733939078.html,53.70,37.59,9.00%,,30%,https://s.click.aliexpress.com/e/_9ft5d2
Work Wear & Uniforms,200000668,Thai style Hotel uniform SPA Uniform Health Teahouse Club Work Clothing Beauty salon Female Clothes 2 piece Set Waiter uniforms,33060209484,https://ae01.alicdn.com/kf/HTB18XaiaAP2gK0jSZPxq6ycQpXak/Thai-style-Hotel-uniform-SPA-Uniform-Health-Teahouse-Club-Work-Clothing-Beauty-salon-Female-Clothes-2.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB18XaiaAP2gK0jSZPxq6ycQpXak.jpg,https://ae04.alicdn.com/kf/HTB1YrejaEY1gK0jSZFCq6AwqXXaT.jpg,https://ae04.alicdn.com/kf/HTB19wmjaAL0gK0jSZFtq6xQCXXat.jpg,https://ae04.alicdn.com/kf/HTB17B9jarj1gK0jSZFOq6A7GpXaY.jpg,https://ae04.alicdn.com/kf/HTB1BxGfapY7gK0jSZKzq6yikpXa2.jpg,",https://www.aliexpress.com/item/33060209484.html,41.87,29.73,8.00%,,29%,https://s.click.aliexpress.com/e/_A8x9p6
Work Wear & Uniforms,200000668,Performance Women's Medical Scrubs Nurse Men's Work Uniform Doctor Workwear Top and Pant Gray Solid Color Suits 302,1005003697620335,https://ae01.alicdn.com/kf/Hef303ff661204aadb803d3fd8820a9a1W/Performance-Women-s-Medical-Scrubs-Nurse-Men-s-Work-Uniform-Doctor-Workwear-Top-and-Pant-Gray.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hef303ff661204aadb803d3fd8820a9a1W.jpg,https://ae04.alicdn.com/kf/H1a965badb3474103b4f63abba04ec334A.jpg,https://ae04.alicdn.com/kf/Se6c6e96c88ac4f48a4fedded6f2d5daa5.jpg,https://ae04.alicdn.com/kf/H7b9b1f6a18d449e8ac64d1aef61356d6F.jpg,https://ae04.alicdn.com/kf/H7f9456999b064d579c8233ea47e96ee2z.jpg,",https://www.aliexpress.com/item/1005003697620335.html,48.26,16.89,10.00%,,65%,https://s.click.aliexpress.com/e/_AdaD4Y
Work Wear & Uniforms,200000668,S-5XL 17Styles Heart Letter Print Short Sleeve V-neck Pocket Protective Clothing Soft Nurse Working Uniform Tops,1005003030017431,https://ae01.alicdn.com/kf/Hef79ed3a962441de9a8489b0da560db9k/S-5XL-17Styles-Heart-Letter-Print-Short-Sleeve-V-neck-Pocket-Protective-Clothing-Soft-Nurse-Working.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hef79ed3a962441de9a8489b0da560db9k.jpg,https://ae04.alicdn.com/kf/Hcdbd63f4bd0e4fd2a6009c966af813dag.jpg,https://ae04.alicdn.com/kf/Hee6c8b600efb4199849ed29192880cebA.jpg,https://ae04.alicdn.com/kf/H757d20935f974cc689c8fde53ea49936H.jpg,https://ae04.alicdn.com/kf/H1b4918bcca2b4537a73ef905fa5bb1792.jpg,",https://www.aliexpress.com/item/1005003030017431.html,12.32,6.78,15.00%,,45%,https://s.click.aliexpress.com/e/_APKSDm
Work Wear & Uniforms,200000668,2021 Japan School Sweater Spring Autumn 100% V-neck Cotton Knitted Sweater JK Uniforms Cardigan Multicolor Student Girls Cosplay,1005003697763176,https://ae01.alicdn.com/kf/S0f0dde9a64cb4b12b02cb0544bee2a015/2021-Japan-School-Sweater-Spring-Autumn-100-V-neck-Cotton-Knitted-Sweater-JK-Uniforms-Cardigan-Multicolor.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S0f0dde9a64cb4b12b02cb0544bee2a015.jpg,https://ae04.alicdn.com/kf/Se7a10c2b32564ad48fab8c733e9f8839A.jpg,https://ae04.alicdn.com/kf/Sb1c25c028d86450cb1fbbd15fe4df85az.jpg,https://ae04.alicdn.com/kf/Hb4a9890c942947ffb049acd1c7b8e8f98.jpg,https://ae04.alicdn.com/kf/H237e80e493844161a9f9f418c24931f9B.jpg,",https://www.aliexpress.com/item/1005003697763176.html,28.69,10.04,10.00%,,65%,https://s.click.aliexpress.com/e/_9HOykk
Work Wear & Uniforms,200000668,Universal Women Shirt Decorative Cool V-type Collar Women Short Sleeve T-Shirt  Ladies Shirt    Tops,1005003640618748,https://ae01.alicdn.com/kf/H1c970de79d0042a6adfb627efa940514F/Universal-Women-Shirt-Decorative-Cool-V-type-Collar-Women-Short-Sleeve-T-Shirt-Ladies-Shirt-Tops.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1c970de79d0042a6adfb627efa940514F.jpg,https://ae04.alicdn.com/kf/Hc37a19f7887645448e643a3e2dfa01ffs.jpg,https://ae04.alicdn.com/kf/H5034553d5cf04646b69de63915e9c0fcN.jpg,https://ae04.alicdn.com/kf/Habec1608da33487aa0390b2d8d5ea7b6A.jpg,https://ae04.alicdn.com/kf/H8efe5c290e564e568a2467cba308dc2c5.jpg,",https://www.aliexpress.com/item/1005003640618748.html,5.03,3.82,8.00%,,24%,https://s.click.aliexpress.com/e/_A2T4Ne
Work Wear & Uniforms,200000668,2 Colors 2021 Autumn Winter Women Pullovers And Lovely Sweaters Jumper Vintage Goat Pattern Outwear Loose Knitted Sweater Female,1005003741344323,https://ae01.alicdn.com/kf/H01f8ca07ef5c401dae24b2bfc86b5d55J/2-Colors-2021-Autumn-Winter-Women-Pullovers-And-Lovely-Sweaters-Jumper-Vintage-Goat-Pattern-Outwear-Loose.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H01f8ca07ef5c401dae24b2bfc86b5d55J.jpg,https://ae04.alicdn.com/kf/S045bd64dc1fb46ee9941bdec09e9c65aN.jpg,https://ae04.alicdn.com/kf/S8e3d24b1fa654b2c9a4c3320607eda58h.jpg,https://ae04.alicdn.com/kf/S75f2df5d5026452aae332ae85cbb0394i.jpg,https://ae04.alicdn.com/kf/H1a52b546e68b41f5a47f513d637c5bb0J.jpg,",https://www.aliexpress.com/item/1005003741344323.html,24.87,17.41,8.00%,,30%,https://s.click.aliexpress.com/e/_A9X69Q
Work Wear & Uniforms,200000668,2021 New Camouflage 9 Colors Army Combat Uniform Military Shirt Cargo Multicam Airsoft Paintball Tactical Cotton Clothes,1005003697800035,https://ae01.alicdn.com/kf/S02f96c4aaf174f0c8d21e4998427c6573/2021-New-Camouflage-9-Colors-Army-Combat-Uniform-Military-Shirt-Cargo-Multicam-Airsoft-Paintball-Tactical-Cotton.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S02f96c4aaf174f0c8d21e4998427c6573.jpg,https://ae04.alicdn.com/kf/Se0b06f79c62d40079ca344180f24d357R.jpg,https://ae04.alicdn.com/kf/Se6d7c82be6674b94983e9fdb3dc132c9X.jpg,https://ae04.alicdn.com/kf/H9fcef08150784f0ab9f07a054862a97fq.jpg,https://ae04.alicdn.com/kf/S3ceab95795764f0fb94701dab23d1751q.jpg,",https://www.aliexpress.com/item/1005003697800035.html,39.04,19.52,10.00%,,50%,https://s.click.aliexpress.com/e/_AFBgLS
Work Wear & Uniforms,200000668,Hospital Surgical Medical Slipper Women Doctor EVA Non-slip Nurse Clogs Medical Shoes Nursing Clogs SPA Beauty Salon Shoes,1005001877915368,https://ae01.alicdn.com/kf/He348f3c97f5f4d2891aef189f50b7653Z/Hospital-Surgical-Medical-Slipper-Women-Doctor-EVA-Non-slip-Nurse-Clogs-Medical-Shoes-Nursing-Clogs-SPA.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He348f3c97f5f4d2891aef189f50b7653Z.jpg,https://ae04.alicdn.com/kf/H180b96d5f7b24343ad327aa17811d5967.jpg,https://ae04.alicdn.com/kf/Hbb805c51da104d4ba9e9016bd5ff237eX.jpg,https://ae04.alicdn.com/kf/Hbf4a5ee9bfe64708a5a3f2900446927aI.jpg,https://ae04.alicdn.com/kf/H9cc6c6183c3f4d0bbf2a58b8bcefe4f9h.jpg,",https://www.aliexpress.com/item/1005001877915368.html,22.48,22.48,15.00%,,0%,https://s.click.aliexpress.com/e/_9A9rWy
