"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003779883796","https://ae04.alicdn.com/kf/S68a78882fcd84b2793c8c411c2fef3c1q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/346007459221.mp4","GEPRC MARK5 HD Vista Freestyle FPV Drone 4S/6S 5Inch SPEEDX2 2107.5 F722-HD-BT For RC FPV Quadcopter LongRange Freestyle Drone","USD 608.74","USD 505.25","17%","USD","8.0","USD 40.42","36","100.0%","https://s.click.aliexpress.com/e/_DcIVPHz"
"1005003452216781","https://ae04.alicdn.com/kf/S85ac7cdc2e22455296ca613b3b199b48p.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100021359607.mp4","Best SG107 PRO GPS 8K Drone Professional Camera 5G WIFI FPV 1.2KM Distance Brushless Motor Auto Return Rc Quadcopter","USD 135.99","USD 80.23","41%","USD","7","USD 5.62","133","90.4%","https://s.click.aliexpress.com/e/_DlqGsZv"
"1005001305932092","https://ae04.alicdn.com/kf/H999af15419354928aa2feb0b3766a3fbm.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/271286311057.mp4","Mini 4K RC drone with Camera Foldable drones Altitude Hold Pocket Profesional Quadcopter Dron Gift Toys for boys","USD 13.18","USD 6.59","50%","USD","7","USD 0.46","21","100.0%","https://s.click.aliexpress.com/e/_DEFqfTh"
"1005004464759410","https://ae04.alicdn.com/kf/S81a1518f63294b9eac6e64117af165d0N.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100058063034.mp4","2022 New LSRC Quadcopter E88-525 Pro WIFI FPV Drone With Wide Angle HD 4K Camera Height Hold Avoidance RC Foldable Dron Gift Toy","USD 48.87","USD 25.90","47%","USD","7","USD 1.81","870","87.1%","https://s.click.aliexpress.com/e/_DdNWn19"
"1005004401877331","https://ae04.alicdn.com/kf/S178ce95742ba4d798f7effd9cd154113W.jpg",,"L900 Pro SE MAX GPS Drone 4K Professional Dual HD Camera 5G FPV 360° Obstacle Avoidance Brushless Motor Quadcopter Drones Toys","USD 199.98","USD 99.99","50%","USD","7","USD 7.00","162","100.0%","https://s.click.aliexpress.com/e/_DlP32JH"
"1005001546533889","https://ae04.alicdn.com/kf/Hd34e1d16493b450fa5d746b895d10655O.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352425081578.mp4","Mavic Air 2 Drone Air Dropper Drop Release Playload Delivery System  for DJI Mavic Air 2 Beach Fishing Gift Rescue Accessories","USD 43.98","USD 25.51","42%","USD","7","USD 1.79","27","90.0%","https://s.click.aliexpress.com/e/_DmUzkUB"
"1005003093518147","https://ae04.alicdn.com/kf/U55ff3ece26bd440ca2408d8a53b972e3G.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/320277884888.mp4","Drone 4k HD Dual Camera 1080P WiFi Fpv Visual Positioning  Dron Height Preservation Rc Quadcopter VS V4 Drone","USD 55.73","USD 27.31","51%","USD","7","USD 1.91","21","92.6%","https://s.click.aliexpress.com/e/_DcIZ7QR"
"1005004334086672","https://ae04.alicdn.com/kf/S6cb207c84fd048019eef3b864db539f0w.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100012464370.mp4","2022 NEW Drone 4k Profesional GPS 360 Degree Obstacle Avoidance Brushless Motor Quadcopter 8K HD Aerial Photography RC Dron Toy","USD 205.53","USD 73.99","64%","USD","7","USD 5.18","35","84.0%","https://s.click.aliexpress.com/e/_DE4yQpp"
"1005002382690946","https://ae04.alicdn.com/kf/S4f780d3f2f22437495c83f1055445cc8v.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/304501445146.mp4","SHAREFUNBAY S89 Pro Rc Mini Drone 4k Profesional HD Dual Camera Fpv Drones With Camera Hd 4k Rc Helicopters Quadcopter Toys","USD 54.26","USD 18.45","66%","USD","7","USD 1.29","939","96.1%","https://s.click.aliexpress.com/e/_DFKYJx1"
"1005003980486903","https://ae04.alicdn.com/kf/Sbab77b0227654a67ba29751ec488056f0.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/349511077647.mp4","V4 RC Drone 4K/1080P HD Wide Angle Camera WiFi Fpv Dual Camera Foldable Quadcopter Real Time Transmission Helicopter Toy","USD 68.00","USD 31.96","53%","USD","11.0","USD 3.52","580","89.7%","https://s.click.aliexpress.com/e/_DlVQ74b"
"1005004245816601","https://ae04.alicdn.com/kf/Saca772b367b94aa197bf0d2fd959919e8.jpg",,"2022 Flying Ball Spinner Ball UFO Boomerang Soaring Flying Toy Mini Drone LED Hand Gesture Control Gifts Toys for Children Adult","USD 16.71","USD 8.19","51%","USD","7","USD 0.57","36","null%","https://s.click.aliexpress.com/e/_DEmpVHd"
"1005003124007868","https://ae04.alicdn.com/kf/S5836fc75d6f6466a9a605473b54604adH.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/344757355060.mp4","2022 NEW RG101 MAX GPS Drone 8K Professional Dual HD Camera FPV 3Km Aerial Photography Brushless Motor Foldable Quadcopter Toys","USD 159.98","USD 75.19","53%","USD","7","USD 5.26","1242","88.6%","https://s.click.aliexpress.com/e/_DFpaZob"
"1005001431517405","https://ae04.alicdn.com/kf/H1139d924901f48d1a25969ca70ed55b7S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/297308190758.mp4","Holy Stone HS450/210/330 Mini RC Drone Headless Drones Mini RC Quadrocopter One Key Land Auto Hovering  3 Batteries  Helicopter","USD 57.26","USD 40.08","30%","USD","8.0","USD 3.21","220","95.1%","https://s.click.aliexpress.com/e/_DnSkkaL"
"1005003748415714","https://ae04.alicdn.com/kf/Hc6ee8f0afe034d17aa915f90de2cd210b.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/343498566646.mp4","SU-35 Drone Radio Control Airplane 2.4G RC Plane Glider With Remote Hand Throwing Foam Electric Remote Control Airplane Kid Gift","USD 27.09","USD 19.78","27%","USD","8.0","USD 1.58","312","90.8%","https://s.click.aliexpress.com/e/_Dkq8Sw3"
"1005004348121267","https://ae04.alicdn.com/kf/Sc63dbac3a39747c2b01805ecdaf46358U.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100039835653.mp4","RG101 MAX Drone 6k Professional GPS Obstacle Aoidance Foldable Drone Brushless Motor FPV 3km Aerial Helicopter Toy Gift","USD 140.79","USD 91.52","35%","USD","7","USD 6.41","36","92.0%","https://s.click.aliexpress.com/e/_DCxXSS7"
