"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005002837123674","https://ae04.alicdn.com/kf/Ha1a8cab4b75c4ded8bb81296805b4c20X.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/315630215332.mp4","TENXIND 8S Drone With Camera RC Quadrocopter WIFI Dron Aerial Photography Ultra-Long Life 360° Rollover Airplanes Drones Toy Kit","USD 45.70","USD 18.28","60%","USD","7","USD 1.28","48","81.3%","https://s.click.aliexpress.com/e/_DdvXfHz"
"1005004356757487","https://ae04.alicdn.com/kf/S6c20d5ab25934fb4922135e69657bba9Z.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100040940374.mp4","HD Camera Drone 4K 2.4GHz 1080P HD Band WiFi Quadcopter Altitude Hold RC Helicopter V22 Osprey Remote Control Toys for Adult","USD 60.38","USD 43.47","28%","USD","8.0","USD 3.48","17","100.0%","https://s.click.aliexpress.com/e/_DFyfXrh"
"1005001721910307","https://ae04.alicdn.com/kf/S9ab001fe5bc94517959e540e7d490802e.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100035351533.mp4","2022 New L900 Pro Drone 4K Professional 5G GPS HD Camera  Photography Brushless Foldable Quadcopter RC Distance 1.2KM Dron Toys","USD 189.98","USD 75.99","60%","USD","10.0","USD 7.60","103","98.3%","https://s.click.aliexpress.com/e/_DESHECJ"
"1005004338561025","https://ae04.alicdn.com/kf/Sbb77d1d209954d3994ed91e99ad1c3a1m.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100037586370.mp4","2022 V9 RC Mini Drone 4k Dual Camera HD Wide Angle Camera  WIFI FPV Aerial Photography Helicopter Foldable Quadcopter Dron Toys","USD 52.63","USD 26.31","50%","USD","8.0","USD 2.10","18","100.0%","https://s.click.aliexpress.com/e/_DEC4ran"
"1005002826910181","https://ae04.alicdn.com/kf/Se2f73a63dcba4e6b813080c46c9ccc760.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/266458424417.mp4","2022 NEW Mini Drone 4k Profesional HD Dual Camera Fpv WIFI Dron Follow Me Rc Drones Helicopter Quadcopter Toys","USD 39.98","USD 19.99","50%","USD","7","USD 1.40","100","90.9%","https://s.click.aliexpress.com/e/_DlcL1cb"
"1005004199664779","https://ae04.alicdn.com/kf/S2e26cb8d05a84363992b9588ac6a787aF.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100077684023.mp4","New XT8 Mini Drone 4K Professional HD Camera WIFI FPV Air Pressure Fixed Height LED Light Foldable Quadcopter RC Helicopter Toy","USD 45.60","USD 22.80","50%","USD","7","USD 1.60","40","100.0%","https://s.click.aliexpress.com/e/_DFlQo8P"
"1005004375644498","https://ae04.alicdn.com/kf/Sd7c082e5311944e59e580a983d51cca8R.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100079455672.mp4","2022 New X6 pro Drone 4K professional HD camera 2.4G WIFI Fpv with Avoidance optical flow foldable quadcopter rc helicopter Toys","USD 67.48","USD 26.99","60%","USD","8.0","USD 2.16","114","98.6%","https://s.click.aliexpress.com/e/_DlfWPQX"
"1005003210311556","https://ae04.alicdn.com/kf/S77ca784aec914939915563c1adc03748I.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/345840911387.mp4","2022 New Mini Drone 4k Profesional Dron With 1080P HD Camera V15 RC Drones Collapsible Quadcopter Airplane Remote Control Toys","USD 74.98","USD 29.99","60%","USD","7","USD 2.10","332","97.8%","https://s.click.aliexpress.com/e/_DDePXYj"
"33040116682","https://ae04.alicdn.com/kf/HTB1pEokUSzqK1RjSZFpq6ykSXXa4.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/230737967518.mp4","RC  Drone  4K 1080P 720P HD Dual Camera Optical Flow Aerial  Quadcopter FPV Dron Long Battery Life Toys For Kids Boys","USD 71.13","USD 36.99","48%","USD","7","USD 2.59","42","100.0%","https://s.click.aliexpress.com/e/_DljIHFZ"
"1005003697627896","https://ae04.alicdn.com/kf/Hf66645ff44f84ef2932a4ac415947863H.jpg",,"DJI Mini SE FCC Version 2.7K Camera Drone 4KM HD Video Transmission RC Helicopter GPS Quadcopter Original Brand New Hot Sale","USD 507.14","USD 355.00","30%","USD","1","USD 3.55","25","68.0%","https://s.click.aliexpress.com/e/_DFpHKR5"
"1005004276105039","https://ae04.alicdn.com/kf/Sc986a819b1384c4a8e826636a01b0711k.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100027296245.mp4","Drone 4K Profesional GPS 5KM Dual HD Quadcopter With Camera With 360 Obstacle Avoidance 5G WiFi VS XT9 Mini Drone RC Quadcopter","USD 72.50","USD 43.50","40%","USD","7","USD 3.04","31","85.0%","https://s.click.aliexpress.com/e/_DDDKbvl"
"1005004073728732","https://ae04.alicdn.com/kf/Sf29d2b3d3ebb4a65bcf966a58649cd78h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/353242286531.mp4","2022 New Quadcopter E88 Pro WIFI FPV Drone With Wide Angle HD 4K 1080P Camera Height Hold RC Foldable Quadcopter Dron Gift Toy","USD 53.98","USD 24.29","55%","USD","8.0","USD 1.94","74","90.8%","https://s.click.aliexpress.com/e/_DB8jXlz"
"1005002242768958","https://ae04.alicdn.com/kf/He568565067e54304a46ca841c3719a29v.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/299853433069.mp4","HGRC Mini RC UFO Drone With LED Light Gesture Sensing Electric Flying Quadcopter Anti-collision Induction Dron Toys for children","USD 18.15","USD 10.89","40%","USD","7","USD 0.76","201","87.5%","https://s.click.aliexpress.com/e/_DlNlmrH"
"1005002580347044","https://ae04.alicdn.com/kf/S2cd3e01528bd4de0bd7794d7add3e954P.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/343389727699.mp4","RC Drone UAV Quadcopter FPV with 4K HD Camera Aerial Photography Remote Control Quadrocopter Long Flying Time Aircraft JIMITU","USD 39.80","USD 19.90","50%","USD","8.0","USD 1.59","84","88.7%","https://s.click.aliexpress.com/e/_DBsVbZ5"
"1005004325153377","https://ae04.alicdn.com/kf/S783874d205db449aa952748f19879969a.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100049840676.mp4","XYRC S6S Mini GPS Drone 4K Professinal Dual HD EIS Camera Light Flow 5G Wifi Brushless Folding Quadcopter RC Helicopter Toys","USD 159.38","USD 76.50","52%","USD","7","USD 5.36","146","99.8%","https://s.click.aliexpress.com/e/_DCiP0un"
"4001027083204","https://ae04.alicdn.com/kf/S72ea389d5a8647e58a90653b576bbb7d2.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/280277042055.mp4","RC Drone UAV with Aerial Photography 4K HD Pixel Camera Remote Control 4-Axis Quadcopter Aircraft Long Life Flying Toys JIMITU","USD 66.00","USD 33.00","50%","USD","9.5","USD 3.14","21","75.7%","https://s.click.aliexpress.com/e/_DB448O3"
"1005004373952723","https://ae04.alicdn.com/kf/S42271815944c4ef599c587f665c0ad29s.jpg",,"F9 GPS Drone 4K Professional Dual Camera Foldable RC Quadcopter Dron 6K 5G WIFI Brushless Motor Remote Control Helicopter Toy","USD 173.96","USD 86.98","50%","USD","7","USD 6.09","45","98.7%","https://s.click.aliexpress.com/e/_DkKLAxz"
"1005004247553172","https://ae04.alicdn.com/kf/Se3a0ad0daf0f4dceaecdace5efa92a66N.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100045553022.mp4","S91 4K Profession Drone Obstacle Avoidance Dual Camera RC Quadcopter Dron FPV 5G WIFI Long Range Remote Control Helicopter Toys","USD 78.74","USD 39.37","50%","USD","8.0","USD 3.15","16","95.0%","https://s.click.aliexpress.com/e/_DDlpmmb"
"1005001706427150","https://ae04.alicdn.com/kf/S3dd4e8c28048408ca19c6f01b4a5b98fa.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/286264422035.mp4","V9 RC Mini Drone 4k Dual Camera HD Wide Angle Camera 1080P WIFI FPV Aerial Photography Helicopter Foldable Quadcopter Dron Toys","USD 39.60","USD 19.40","51%","USD","8.0","USD 1.55","488","93.8%","https://s.click.aliexpress.com/e/_DE2xBu3"
"1005003404478935","https://ae04.alicdn.com/kf/Se195abed047a4e45b3314381e751bfa4g.jpg",,"2022 New k7 Drone 5G WIFI 4K HD professional camera 3-axis anti-shake gimbal ESC with optical flow quadcopter rc helicopter Toys","USD 99.98","USD 39.99","60%","USD","7","USD 2.80","45","96.5%","https://s.click.aliexpress.com/e/_Dkd1lwR"
"1005004325083319","https://ae04.alicdn.com/kf/S4042f2f5e7f74c6d85d1af2e004367be8.jpg",,"New K6 RC Mini Drone 4K HD Camera Wifi FPV Four Sides Infrared Obstacle Avoidance Folding Quadcopter Helicopter Boy Toy Gift","USD 58.60","USD 23.44","60%","USD","7","USD 1.64","84","92.4%","https://s.click.aliexpress.com/e/_Dl0BYYn"
"4000826076676","https://ae04.alicdn.com/kf/H1db6ec74022846298f0258d4932ca95eU.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/256930322836.mp4","Mini Watch RC Drone Sensing Gesture infrared Induction Quadcopter Intelligent Remote Control LED ufo Helicopter dron Kids Toys","USD 28.00","USD 28.00","0%","USD","8.0","USD 2.24","53","94.3%","https://s.click.aliexpress.com/e/_Dkg8kJV"
"1005003988375625","https://ae04.alicdn.com/kf/S88fe6766782b470aa17dd99e21477c5eH.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/349257968129.mp4","LSRC New Mini Drone E99 K3 PRO 4K HD Camera WIFI FPV Obstacle Avoidance Foldable Profesional RC Dron Quadcopter Helicopter Toys","USD 42.66","USD 25.59","40%","USD","7","USD 1.79","182","84.2%","https://s.click.aliexpress.com/e/_DcJObft"
"1005004259094700","https://ae04.alicdn.com/kf/Sfe78574fb6304e08b315246c5fd8e226S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100026734463.mp4","V9 Mini Drone for Kids with 4K HD Camera FPV Live Video RC Quadcopter Helicopter for Adults beginners Toys Gifts,Altitude Hold","USD 43.80","USD 21.90","50%","USD","8.0","USD 1.75","92","96.5%","https://s.click.aliexpress.com/e/_DBCdoBN"
