"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003452216781","https://ae04.alicdn.com/kf/S85ac7cdc2e22455296ca613b3b199b48p.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100021359607.mp4","Best SG107 PRO GPS 8K Drone Professional Camera 5G WIFI FPV 1.2KM Distance Brushless Motor Auto Return Rc Quadcopter","USD 135.99","USD 80.23","41%","USD","7","USD 5.62","132","90.4%","https://s.click.aliexpress.com/e/_DERaaUJ"
"4000006940831","https://ae04.alicdn.com/kf/S3d280c55522e4d329d17f4f8c11d0e71t.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/330572397828.mp4","FIMI X8 Mini Camera 249g Drone Quadcopter RC Helicopter 8KM FPV 3-axis Gimbal 4K Camera GPS RC Drone Quadcopter RTF mini drones","USD 614.55","USD 344.15","44%","USD","7","USD 24.09","341","97.2%","https://s.click.aliexpress.com/e/_DFKpevv"
"1005004651072307","https://ae04.alicdn.com/kf/Sf788d209f24143afbe5e81d0ef46a2f2h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100081686382.mp4","QJ S128 Mini Drone 4K HD Camera Three-sided Obstacle Avoidance Air Pressure Fixed Height Professional Foldable Quadcopter Toys","USD 54.41","USD 28.29","48%","USD","7","USD 1.98","54","null%","https://s.click.aliexpress.com/e/_DlVWu2L"
"1005004523344086","https://ae04.alicdn.com/kf/Se0f1f608f2a74711bd6260ef963bd95cu.jpg",,"S128 Mini Drone 4K HD Camera Three-sided Obstacle Avoidance Air Pressure Fixed Height Professional Foldable Quadcopter Toys","USD 49.03","USD 24.51","50%","USD","8.0","USD 1.96","20","100.0%","https://s.click.aliexpress.com/e/_DCQrknN"
"1005001677788554","https://ae04.alicdn.com/kf/Sa8d700a0b1f8477b9d757ac0b9e12657q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/285568875804.mp4","E525 PRO RC Quadcopter Profissional Obstacle Avoidance Drone Dual Camera 1080P 4K Fixed Height Mini Dron Helicopter Toy","USD 26.58","USD 18.61","30%","USD","7","USD 1.30","52","84.8%","https://s.click.aliexpress.com/e/_Ddd67jh"
"1005004658589415","https://ae04.alicdn.com/kf/S421fff51fbf84e418e045f47fff9faaet.jpg",,"LU9 Max GPS Drone 8K Dual HD Camera Professional Remot Control helicopter Brushless Motor Avoidance Foldable RC Quadcopter Toys","USD 17.98","USD 7.19","60%","USD","8.0","USD 0.58","89","null%","https://s.click.aliexpress.com/e/_DEebdv9"
"4000573303207","https://ae04.alicdn.com/kf/S9a1098b665134a0ebd7ad3dbbe4baafbP.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/300151138590.mp4","RC Drone FPV Quadcopter UAV with ESC Camera 4K HD Profesional Wide-Angle Aerial Photography Long Life Remote Control Helicopter","USD 65.00","USD 32.50","50%","USD","10.0","USD 3.25","318","95.0%","https://s.click.aliexpress.com/e/_Dcyz3tV"
"1005003719491455","https://ae04.alicdn.com/kf/Hd382984d94204847bc75bdd25539db80F.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/342577558632.mp4","NEW F10 Pro Drone Profesional 6K GPS 5G WIFI FPV Fold Quadcopter With Camera RC Plane 25 Minutes Helicopters Dron Toys For Boys","USD 121.91","USD 60.95","50%","USD","10.0","USD 6.10","507","88.8%","https://s.click.aliexpress.com/e/_DD8K9dN"
"1005004351624237","https://ae04.alicdn.com/kf/S7ee12649159b4000967d006aa9aa9f49E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100074481126.mp4","360 Degree Aerial Camera Drone E58 Small High Definition Wifi With 4-Axis Foldable Real-Time Image Transmission Fixed Height","USD 9.00","USD 5.22","42%","USD","3.5","USD 0.18","29","80.0%","https://s.click.aliexpress.com/e/_Dm2b9XZ"
"1005002219408774","https://ae04.alicdn.com/kf/S41b5cdeea83549e897f153cc0e73340ex.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/298996524239.mp4","Potensic A20 RC Quadcopter Indoor Outdoor Mini Drone 2.4G Remote Control Helicopter Easy to Fly Little Dron for Kids Boys Toys","USD 51.96","USD 25.98","50%","USD","8.0","USD 2.08","166","97.7%","https://s.click.aliexpress.com/e/_DFJg0Lz"
