"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005002856084405","https://ae04.alicdn.com/kf/H2ae3280e1aa84cebb8ad0c360534d816r.jpg",,"Solar Shaking Head Apple Blossom Office Ornaments Bobble Head Doll Toys","USD 1.75","USD 1.05","40%","USD","7","USD 0.07","0","null%","https://s.click.aliexpress.com/e/_Dem1MnV"
"1005004118981192","https://ae04.alicdn.com/kf/S6ac56b23eaae4f75a88f89ec82fb770eR.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100006863911.mp4","Electric Dancing Sing Cartoon Bee Lighting Music Animal Plastic Changing Face Honeybee Doll Gift Kids Toy","USD 9.21","USD 6.91","25%","USD","7","USD 0.48","1","null%","https://s.click.aliexpress.com/e/_DdVcj2J"
"1005004680199097","https://ae04.alicdn.com/kf/Sdc57c8646e17448b95c62abc3aaa87e8d.jpg",,"Crawling Octopus Baby Toy Induction Escape Octopus Toy Music Light Up Electric Pet Rechargeable Educational Toys Gift For K M7m6","USD 7.75","USD 5.04","35%","USD","7","USD 0.35","1","null%","https://s.click.aliexpress.com/e/_DB4l5vH"
"1005004431816682","https://ae04.alicdn.com/kf/Sa9843d00c856414e87cc925c96c6efa71.jpg",,"Sound Button Recordable Talking Button Bullshit Maybe No Sorry Yes Toys Home Office Party Funny Gag Toy For Children Toy Gifts","USD 2.51","USD 1.88","25%","USD","10.0","USD 0.19","0","null%","https://s.click.aliexpress.com/e/_DCtJnWB"
"1005002187327583","https://ae04.alicdn.com/kf/H6ca72c34c0814712855382eadb327069U.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/298785005326.mp4","Lovely Electric Dance Duck Doll Children Educational Toy Musical Lighting Interactive Kids Gifts","USD 5.68","USD 4.54","20%","USD","7","USD 0.32","4","100.0%","https://s.click.aliexpress.com/e/_Dm4NQAx"
"1005004182366601","https://ae04.alicdn.com/kf/Se32166bd58a2495e9493df1cc7d9f6aev.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100014310059.mp4","Dinosaur Egg Multi-colors Virtual Cyber Digital Pet Game Toy Tamagot Digital Electronic E-Pet Birthday Gift for Kids Adult","USD 1.79","USD 1.25","30%","USD","7","USD 0.09","4","100.0%","https://s.click.aliexpress.com/e/_DFvZmsR"
"1005004686892831","https://ae04.alicdn.com/kf/S38b53207eba14dd2bfb5d61805001402c.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100084077765.mp4","Original Bandai Tamagotchi Dinosaur JURASSIC WORLD Tyrannosaurus Rex Triceratops Electronic Game Pet Machine Action Figures Toys","USD 49.91","USD 31.94","36%","USD","7","USD 2.24","14","null%","https://s.click.aliexpress.com/e/_DCsZ8z1"
"1005002360329836","https://ae04.alicdn.com/kf/H0d5f2e9219684b98a9711615cde81ae82.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/303328530074.mp4","1pcs Electronic Pets Swing Toy Funny Plastic Anti-scratch Educational Simulation Lovely Rotation Swing Animal Toy for Kids","USD 3.49","USD 3.49","0%","USD","7","USD 0.24","0","null%","https://s.click.aliexpress.com/e/_DmeQRf1"
"1005004520841648","https://ae04.alicdn.com/kf/Sa3c00ac7560c45fcb8464b2c8c82458bj.jpg",,"Electronic Learning Smartphone Toy Preschool Learning Toy for Aged 18Months+","USD 2.95","USD 1.65","44%","USD","7","USD 0.12","0","null%","https://s.click.aliexpress.com/e/_DdnXDCT"
"1005003355328739","https://ae04.alicdn.com/kf/H420692d5e4bd46498a2d82b4ab418b10y.jpg",,"360 Rotating Smart Space Dance Robot Electronic Walking Toys With Music Light For Kids Astronaut Toy Christmas Birthday Gift","USD 13.16","USD 9.21","30%","USD","7","USD 0.64","3","null%","https://s.click.aliexpress.com/e/_DnstmZp"
"1005003493601381","https://ae04.alicdn.com/kf/H0c2876e19d904d0d949d8adaf602df5a5.jpg",,"Electric Puppy Plush Sing and Dance Toy, Leash Walking Electric Simulation Dog for Children Kids Gift","USD 14.21","USD 10.09","29%","USD","7","USD 0.71","0","null%","https://s.click.aliexpress.com/e/_Dmw9Bdd"
"1005003786236786","https://ae04.alicdn.com/kf/S9c9b0198ec304866b9aad8322afe79bdd.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/344984498913.mp4","Robot Lion Toys Electronic Plush Animal Pet Walking Dancing Sing Song Electric Lion Music LED Toy For Children Birthday Gift","USD 47.90","USD 28.26","41%","USD","8.0","USD 2.26","4","100.0%","https://s.click.aliexpress.com/e/_DDW49HV"
"1005004496296352","https://ae04.alicdn.com/kf/S53cff425f6ed44e5bed3b75652a45d85c.jpg",,"1PC Electronic Pets Nostalgic 49 Pets In One Virtual Cyber Digital Pet Toys Pixel Funny Play Toys Virtual","USD 3.99","USD 2.55","36%","USD","7","USD 0.18","4","100.0%","https://s.click.aliexpress.com/e/_DDdgdgF"
"1005004587619360","https://ae04.alicdn.com/kf/S5f5e15ba89c24942b8dd08756f6590ea0.jpg",,"Parrot Talking Bird Toys Plush Repeating Electronic Animal Hanging Speaking Recording Statue Electric Pet Repeat Kids Learning","USD 19.60","USD 11.76","40%","USD","7","USD 0.82","3","null%","https://s.click.aliexpress.com/e/_DkmDCF9"
"1005004551415321","https://ae04.alicdn.com/kf/S0d5a1321daed4937b536bc8512edf775J.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100069089629.mp4","Walking Barking Cute Puppy Pet Dog Toy with Battery Control Halloween Birthday Gift for Boys Girls Kawaii Electronic Plush Toys","USD 8.60","USD 5.68","34%","USD","7","USD 0.40","1","null%","https://s.click.aliexpress.com/e/_Dlza4UX"
"1005003951664347","https://ae04.alicdn.com/kf/S2e978d6400374d0a8be134e60bac1df4h.jpg",,"1PCs Tamagotchi Electronic Pets Gift Keyring Pets Toys Gift Christmas Educational Funny 90S Nostalgic Virtual Cyber Pet Toy","USD 2.87","USD 2.21","23%","USD","7","USD 0.15","0","null%","https://s.click.aliexpress.com/e/_Dl5T7Xv"
