"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005002510817967","https://ae04.alicdn.com/kf/H2a159a3f2ef443c381a461d293dd3037w.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/306041496052.mp4","Electric USB Charging Simulation Fish Toys Electronic Pet Cat Toy for Baby kids and Dog Cat Playing Dancing Moving Fish Toy","USD 5.88","USD 3.82","35%","USD","7","USD 0.27","12","80.0%","https://s.click.aliexpress.com/e/_DlPQ2dh"
"1005003088159098","https://ae04.alicdn.com/kf/Hdce5a75288e74279829f5a0a7b295219i.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/320913282935.mp4","Talking Dancing Cactus USB Charging Shake Plush Toy Lovely Childhood Education Doll Repeat Home Decor Decoration Accessories","USD 4.83","USD 2.61","46%","USD","8.0","USD 0.21","2","100.0%","https://s.click.aliexpress.com/e/_DmV6Fgb"
"1005004404115756","https://ae04.alicdn.com/kf/Sd2cc982aae4440c4aef144b5c9679be5P.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100049472240.mp4","Rail Racing Track Small Duck Climbing Stairs Toy Action Figures Toy DIY Electric Car Staircase Music Educational Toy For Kid","USD 1.39","USD 0.69","50%","USD","7","USD 0.05","5","100.0%","https://s.click.aliexpress.com/e/_Ddh4pZ9"
"1005004094659874","https://ae04.alicdn.com/kf/S4438341f15dd477eb141fe134494f1ccM.jpg",,"Induction EscapeCrabMoving ToysInfant Crawling Toys  Musical Toys  For Children Electronic Educational Toys Kid Birthday Gift","USD 18.19","USD 12.55","31%","USD","7","USD 0.88","0","null%","https://s.click.aliexpress.com/e/_DBc8OTN"
"1005002708594748","https://ae04.alicdn.com/kf/H324bf6e65fa1423dbd72de32912025cbO.jpg",,"Flopping Fish Moving Fish Plush Toy With Light and Sound Realistic Flopping Fish Wiggle Fish Toys Motion Kitten Toy  Decoration","USD 5.78","USD 4.05","30%","USD","7","USD 0.28","25","76.7%","https://s.click.aliexpress.com/e/_DCEssn9"
"4000857303529","https://ae04.alicdn.com/kf/H2d32a45ef2c44ceda5d0e3ee31fca6edo.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100007502486.mp4","1PC Battery Powered Electronic Robotic Fish Swim Activated Fish Toy Robotic Pet for Fishing Tank Decorating Fish Dropshipping","USD 3.62","USD 2.90","20%","USD","26.0","USD 0.75","26","100.0%","https://s.click.aliexpress.com/e/_Dk5rZfp"
"32807611698","https://ae04.alicdn.com/kf/H7b42f119af154f4cbbd3a139712001e7E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100004049680.mp4","2022 New Funny Swim Electronic fish Activated Battery Powered Toy Pet for Fishing Tank Decorating Fish Lantern  water toys","USD 13.52","USD 13.52","0%","USD","8.0","USD 1.08","19","100.0%","https://s.click.aliexpress.com/e/_DCcju2F"
"1005004496980363","https://ae04.alicdn.com/kf/S7105b305b7dd4f8a858bc578828b07c5S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100061753565.mp4","Electronic Pet Pix Original 90s Virtual Cyber Pet Color Kids Puzzle Toy Digital HD Screen E-Pet Fencing System Interactive Toy","USD 44.93","USD 22.91","49%","USD","8.0","USD 1.83","83","96.8%","https://s.click.aliexpress.com/e/_DeKaARd"
"1005001462450122","https://ae04.alicdn.com/kf/Hec0d4530a4a24892925ef53cc6f2cd3e1.jpg",,"4 Pieces/lot Funny Swiming Electronic Fish Activated Battery Powered Toy Pet for ing Tank Decorating Bath","USD 11.27","USD 10.14","10%","USD","21.0","USD 2.13","9","100.0%","https://s.click.aliexpress.com/e/_DBP8Y75"
"1005004749126802","https://ae04.alicdn.com/kf/Sc0ab24aca0284dd68fb6360655f77f3b3.jpg",,"Children's electronic plush toys, dancing sunflowers, dialogue rehearsals, singing, recording, sorting, early education, gifts","USD 13.98","USD 13.98","0%","USD","8.0","USD 1.12","0","null%","https://s.click.aliexpress.com/e/_DDpix7v"
