"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005004113359972","https://ae04.alicdn.com/kf/S2cd7d12739954a819413298edb782f0cH.jpg",,"Infant Crawling Toys Induction Escape Crab Octopus Baby Light Up Toy Electronic Educational Toddler Moving Toy Kid Birthday Gift","USD 8.84","USD 4.86","45%","USD","7","USD 0.34","1","null%","https://s.click.aliexpress.com/e/_DB1kxub"
"1005002270816208","https://ae04.alicdn.com/kf/H94fd6e5568ed4347ab062700aa3bfeb32.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/300579245191.mp4","Electric Dancing Walking Musical Model Robot with Colorful Flashing Light Kids Interactive Education Toy","USD 5.68","USD 4.54","20%","USD","7","USD 0.32","0","null%","https://s.click.aliexpress.com/e/_DkNammj"
"1005004179208979","https://ae04.alicdn.com/kf/Sf7b3d62e9a604e63a38f0cb083cad1855.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100013937033.mp4","2022 Electric Duck Climbing Stairs Toy DIY Rail Racing Track Roller Coaster Toys Set Light Music Educational Toy For Kids Gift","USD 2.21","USD 1.35","39%","USD","8.0","USD 0.11","0","null%","https://s.click.aliexpress.com/e/_DmLrzWn"
"1005004763964607","https://ae04.alicdn.com/kf/Sc03b8c40d44d49979a673498179c9de1v.jpg",,"Christmas Twisting Toy Dancing Elk Santa Speak Electronic Plush Toys Songs Singing For Babies Children Toy Glowing Birthday A3W2","USD 6.98","USD 4.19","40%","USD","7","USD 0.29","0","null%","https://s.click.aliexpress.com/e/_DBBK4sf"
"1005004694141767","https://ae04.alicdn.com/kf/S33ea1a2186924cdc8cd87167d7e4b413p.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100084524167.mp4","New Children's Electric Dancing Monkey Singing Cartoon Toys Swing Walking Monkey Toy Phone Musical Toys For Baby Toddler Gift","USD 27.53","USD 13.76","50%","USD","10.0","USD 1.38","0","null%","https://s.click.aliexpress.com/e/_DD2gBfp"
"1005004248133114","https://ae04.alicdn.com/kf/S03e40c8bb25e4ea0a7e71ef9b0ab53b58.jpg",,"Flash Swimming Electronic Pet Fish Bath Toys for Children Kids Bathtub Battery Powered Swim Robotic for Fishing Tank Decoration","USD 2.40","USD 2.28","5%","USD","26.0","USD 0.59","2","null%","https://s.click.aliexpress.com/e/_DebPeOL"
"1005004615535700","https://ae04.alicdn.com/kf/Sa029cd99cc67409f81389c1982c37ba3D.jpg",,"49 Pets Electronic Pet Game Console Vintage 90S Nostalgic Virtual Cyber E-pet Interactive Toys Educational Funny Kids Toys Gift","USD 1.17","USD 0.80","32%","USD","7","USD 0.06","0","null%","https://s.click.aliexpress.com/e/_DDG1IMr"
"4001223210520","https://ae04.alicdn.com/kf/H13e42a2138c54279a4770f2f245789dae.jpg",,"OOTDTY Novelty Voice Controlled Bird Call Chirp Electronic Pet Gag Kids Baby Toy Toddler","USD 1.24","USD 0.83","33%","USD","7","USD 0.06","0","null%","https://s.click.aliexpress.com/e/_DkzUM35"
"1005003278014882","https://ae04.alicdn.com/kf/H188562f0a9744f4a87ae26aa0f1238306.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100004394613.mp4","1 Piece Hot! Funny Swim Electronic Fish Activated Battery Powered Toy Fishes Swimming Pet for Fishing Tank Decorating Fish Toys","USD 4.03","USD 3.22","20%","USD","26.0","USD 0.84","0","0.0%","https://s.click.aliexpress.com/e/_DlZN8O3"
"1005004556350164","https://ae04.alicdn.com/kf/Sc4acb9d12ff543bab3258a8dd564fbadE.jpg",,"Funny 168 Pets Virtual Digital Game Machine Nostalgic Virtual Cyber Electronic Interactive Toys Gifts","USD 2.24","USD 2.24","0%","USD","7","USD 0.16","0","null%","https://s.click.aliexpress.com/e/_DlNDXx1"
"1005003720977992","https://ae04.alicdn.com/kf/S7da9654f93834990b55c0528bde574c7v.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/342564976926.mp4","Climbing Stairs Track Toys Cartoon Penguin Dinosaur Dog Duck For Children Electronic Music Kids Funny Boys Girls Birthday Gift","USD 12.41","USD 6.20","50%","USD","7","USD 0.43","4","100.0%","https://s.click.aliexpress.com/e/_DcG0bc7"
"1005003265716837","https://ae04.alicdn.com/kf/H8f84765ac26d410294dfc2f3a064f729N.jpg",,"New Tumbler Dinosaur Egg Multi-colors  Virtual Cyber Digital Pet Game Toy Tamagotchis Digital Electronic E-Pet Christmas Gift","USD 4.37","USD 3.45","21%","USD","7","USD 0.24","19","100.0%","https://s.click.aliexpress.com/e/_DC9YMD1"
"1005004720403934","https://ae04.alicdn.com/kf/Sf95354ee8d734534a6a9d2f3da475ee8W.jpg",,"Toddler Learning Tablet Electronic Computer Pad Musical Spelling Games Touch Screen Learning Toys for Children","USD 2.04","USD 1.43","30%","USD","7","USD 0.10","1","null%","https://s.click.aliexpress.com/e/_Dn2vqHZ"
"1005004439620039","https://ae04.alicdn.com/kf/S44448ff3aaf44b648afe1c451409590es.jpg",,"Toys, creative toys, birthday gifts, birds, repeat what you said","USD 17.91","USD 17.91","0%","USD","7","USD 1.25","0","null%","https://s.click.aliexpress.com/e/_DdUVI2T"
"1005004294341164","https://ae04.alicdn.com/kf/S0688ce3cd8a34b3994448d20ab322863D.jpg",,"90S Nostalgic Tamagotchi Electronic Pets Gift Keyring Educational Funny Virtual Cyber Pet Toy Gift Christmas Pets Toys","USD 2.66","USD 2.13","20%","USD","7","USD 0.15","16","100.0%","https://s.click.aliexpress.com/e/_DcxpXXv"
"1005003298908411","https://ae04.alicdn.com/kf/S6955ceda29e34ab78a36ae10528a6635r.jpg",,"1 Pcs Kids Funny Lighting Walking Elephant With Music and Light Interactive Toy Kids Funny Electronics Toy Birthday Gift","USD 13.36","USD 6.68","50%","USD","8.0","USD 0.53","9","100.0%","https://s.click.aliexpress.com/e/_DCKXtlN"
"1005002277267232","https://ae04.alicdn.com/kf/S6f620fc4e8e04f0e8265cd6f7f4e0a788.jpg",,"NEW Smart Prayer Rugs Smart Prayer Panels  Prayer Aids Prayer Learning Electronic Prayer Rugs Muslim Gift  Arabic Learning Toys","USD 32.49","USD 21.12","35%","USD","8.0","USD 1.69","1","null%","https://s.click.aliexpress.com/e/_DE0ypg7"
"1005001929118950","https://ae04.alicdn.com/kf/H5562a570bb2142b5a216159eb219a56cm.jpg",,"Creative Kids Soft Plush Walking Barking Retriever Puppy Electronic Simulation Pet Dog Interactive Toy","USD 5.17","USD 3.15","39%","USD","7","USD 0.22","1","null%","https://s.click.aliexpress.com/e/_DERfGdp"
"1005004230829555","https://ae04.alicdn.com/kf/Sd04e7a1404634fb9ac8237b419c517cdy.jpg",,"Ferbie named Pixie. Toys for children tamagotchi interactive kids Electronic optosha speaker Robot girls boy Virtual pet smart soft Games small Musical Digital color russian plush","USD 33.61","USD 20.17","40%","USD","7","USD 1.41","0","null%","https://s.click.aliexpress.com/e/_DFWYFMx"
"1005003895650349","https://ae04.alicdn.com/kf/S1e9661f8d6bb412b88c65ef48f305512S.jpg",,"Electronic designer ""Water wheel"" powered by solar battery, Eureka constructors toys and  games Products for children for development and entertainment Creativity and Educational Building Toys for Child Hobby Hobbies m","USD 22.17","USD 22.17","0%","USD","7","USD 1.55","0","null%","https://s.click.aliexpress.com/e/_DBL9eeL"
