"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005002186059332","https://ae04.alicdn.com/kf/H3ec35b12b2684a5b8be7cf2034dfaae4I.jpg",,"34/75 36/80 38/85 40/90 42/95 ABCDE Cup Bra Sets Hollow Out Lace Sexy Women Ultra-Thin Underwear Female Lingerie","USD 15.90","USD 7.95","50%","USD","7","USD 0.56","32","80.0%","https://s.click.aliexpress.com/e/_DC14Lgj"
"1005004594346461","https://ae04.alicdn.com/kf/S494629558fc34a32b6e7484eb26e7cd3E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100075712679.mp4","NVGTN Galaxy Ribbed Seamless Bra Spandex Top Woman Fitness Elastic Breathable Breast Enhancement Leisure Sports Underwear","USD 40.00","USD 12.00","70%","USD","7","USD 0.84","113","100.0%","https://s.click.aliexpress.com/e/_DlCG0sR"
"1005003609738659","https://ae04.alicdn.com/kf/H417f874e90bc46b5a6fdadf5d35d2333U.jpg",,"Sexy Sweet Lace Wireless Women‘s Bras Soft Underwear Gather Push Up Brassiere Hollow Out Female Seamless Bralette Big Lingerie","USD 14.70","USD 7.35","50%","USD","7","USD 0.51","33","97.8%","https://s.click.aliexpress.com/e/_DkxSmd1"
"1005002439184812","https://ae04.alicdn.com/kf/H19b788370f634fa78b153c0ad8d21c35B.jpg",,"SP&CITY Letter Sports Wire Free Push Up Bras For Women Simple Colored Gathered Seamless Underwear Comfort Smooth Sexy Lingerie","USD 6.50","USD 3.90","40%","USD","7","USD 0.27","24","69.1%","https://s.click.aliexpress.com/e/_DFWXjWB"
"1005003058486275","https://ae04.alicdn.com/kf/He8b980e4a65540d2963b7f7fb1a6be34c.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/278262650564.mp4","Women Sexy Bra Corset Wireless One-Piece Underwear Gather Push Up Simple Lingerie Seamless Bralette Candy Color Soutien Gorge","USD 21.32","USD 4.05","81%","USD","7","USD 0.28","200","84.0%","https://s.click.aliexpress.com/e/_DFW7RfD"
"4000165965843","https://ae04.alicdn.com/kf/H5659aa58b92b45129df4c407bd0f91d4y.jpg",,"Women Yoga Fitness Sports Bra Workout Tank Top Sexy Sports Bra Back Yoga Tank Shirt Running Workout Fast Dry Vest","USD 1.45","USD 0.83","43%","USD","7","USD 0.06","123","96.4%","https://s.click.aliexpress.com/e/_DeoRvgb"
"1005003199335730","https://ae04.alicdn.com/kf/Hc41e3c4e2f454826bba4ea1714ac3aabE.jpg",,"Seamless Sports Bra Woman Fitness Yoga Running Vest Push Up Crop Top Padded Underwear Female Cropped Shockproof  Tank Tops","USD 21.18","USD 10.59","50%","USD","7","USD 0.74","473","98.5%","https://s.click.aliexpress.com/e/_DDSbWij"
"1005004477406234","https://ae04.alicdn.com/kf/Sa9990c8600454776bec0d89dfc2e4e97S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100059099543.mp4","Explosive French Simple British Ice Silk Bra One Piece Thick Cup Girls Gathering No Steel Rings Women's Underwear","USD 12.76","USD 4.72","63%","USD","7","USD 0.33","29","null%","https://s.click.aliexpress.com/e/_DCYeaqb"
"4001197555527","https://ae04.alicdn.com/kf/Sa99e7cdf1be444528a55617e1d856852F.jpg",,"Linbaiway Women Seamless Bralette Crop Tops Tube Top Female Underwear Lingerie Bra Long Vest Tank Sleeping Brassiere Intimates","USD 3.35","USD 2.51","25%","USD","7","USD 0.18","305","88.7%","https://s.click.aliexpress.com/e/_DkDwlpz"
"32978780709","https://ae04.alicdn.com/kf/HTB1UbiAbs_vK1Rjy0Foq6xIxVXap.jpg",,"Half cup Thick Paded Push Up Bra Seamless Underwear for small breast student girl wedding dress bra support chest women bra","USD 6.57","USD 4.60","30%","USD","8.0","USD 0.37","268","89.9%","https://s.click.aliexpress.com/e/_DCiriOx"
